k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      97|[0.0387109611194731, 0.0690524284372421, 0.0180007384916487, -0.0335378985362754, -0.0020103343682824, 0.0209984154820779, -0.0501060561965533, 0.0138693745659358, 0.0036028058170899, -0.0104011599701516, -0.0248263587831463, -0.0093407443137435, -0.0263433651516794, 0.0039687962197806, -0.00150494584022, -0.034933520139959, -0.021970211200855, -0.0200438529203475, 0.0197248871909081, -0.0321199215365267, -0.0315151333500478, -0.0341256982867259, 0.0136316045514121, 0.0307404107570806, 0.0233123020416629, 0.0038309457450068, -0.0013727052275885, 0.0243398688047507, -0.0089876698541512, -0.0131540484297226, 0.088228555799448, 0.0042572287643146, -0.0719061491901507, -0.0086149162898903, 0.0800157409466275, 0.0073077636722012, 0.0018453912715693, -0.0209521679643442, 0.0143090186549768, 0.1078937764727621, 0.0331437244620378, -0.0617748072705241, 0.0116001225598339, 0.0866603526980418, 0.018351410218868, -0.0144244143157675, 0.0128015737211218, 0.027557510377562, 0.1461340428592376, 0.0459757169745613, -0.0383382385093498, 0.0265945062817698, 0.1154465844107716, 0.030536383648215, 1.57170305036e-05, 0.0295967324319968, 0.0076873371834234]|  0.0003876635534807|      0.00003052|[9409, 3104, 97, 291]                                                      |  | used linear model with 129 points | iterate success | actual_k=16
      98|[0.0387109611194731, 0.0690524284372421, 0.0180007384916487, -0.0335378985362754, -0.0020103343682824, 0.0209984154820779, -0.0501060561965533, 0.0138693745659358, 0.0036028058170899, -0.0104011599701516, -0.0248263587831463, -0.0093407443137435, -0.0263433651516794, 0.0039687962197806, -0.00150494584022, -0.034933520139959, -0.021970211200855, -0.0200438529203475, 0.0197248871909081, -0.0321199215365267, -0.0315151333500478, -0.0341256982867259, 0.0136316045514121, 0.0307404107570806, 0.0233123020416629, 0.0038309457450068, -0.0013727052275885, 0.0243398688047507, -0.0089876698541512, -0.0131540484297226, 0.088228555799448, 0.0042572287643146, -0.0719061491901507, -0.0086149162898903, 0.0800157409466275, 0.0073077636722012, 0.0018453912715693, -0.0209521679643442, 0.0143090186549768, 0.1078937764727621, 0.0331437244620378, -0.0617748072705241, 0.0116001225598339, 0.0866603526980418, 0.018351410218868, -0.0144244143157675, 0.0128015737211218, 0.027557510377562, 0.1461340428592376, 0.0459757169745613, -0.0383382385093498, 0.0265945062817698, 0.1154465844107716, 0.030536383648215, 1.57170305036e-05, 0.0295967324319968, 0.0076873371834234]|  0.0003876635534807|      0.00001526|[9506, 3136, 98, 294]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
      99|[0.0387109611194731, 0.0690524284372421, 0.0180007384916487, -0.0335378985362754, -0.0020103343682824, 0.0209984154820779, -0.0501060561965533, 0.0138693745659358, 0.0036028058170899, -0.0104011599701516, -0.0248263587831463, -0.0093407443137435, -0.0263433651516794, 0.0039687962197806, -0.00150494584022, -0.034933520139959, -0.021970211200855, -0.0200438529203475, 0.0197248871909081, -0.0321199215365267, -0.0315151333500478, -0.0341256982867259, 0.0136316045514121, 0.0307404107570806, 0.0233123020416629, 0.0038309457450068, -0.0013727052275885, 0.0243398688047507, -0.0089876698541512, -0.0131540484297226, 0.088228555799448, 0.0042572287643146, -0.0719061491901507, -0.0086149162898903, 0.0800157409466275, 0.0073077636722012, 0.0018453912715693, -0.0209521679643442, 0.0143090186549768, 0.1078937764727621, 0.0331437244620378, -0.0617748072705241, 0.0116001225598339, 0.0866603526980418, 0.018351410218868, -0.0144244143157675, 0.0128015737211218, 0.027557510377562, 0.1461340428592376, 0.0459757169745613, -0.0383382385093498, 0.0265945062817698, 0.1154465844107716, 0.030536383648215, 1.57170305036e-05, 0.0295967324319968, 0.0076873371834234]|  0.0003876635534807|      0.00000763|[9603, 3168, 99, 297]                                                      |  | used linear model with 129 points | iterate failure | actual_k=16
     100|[0.0387119465477921, 0.069051865743412, 0.0180001326655201, -0.0335393792819996, -0.0020105321090903, 0.0209970559240879, -0.0501064631050783, 0.013869811741189, 0.0036016717928179, -0.0104013614117097, -0.0248255866750059, -0.0093403413907981, -0.026346346121072, 0.0039682920123357, -0.0015044740017658, -0.0349328835131426, -0.0219706879902853, -0.0200457365851086, 0.0197241223056055, -0.032119747107698, -0.0315148603435139, -0.0341258176126352, 0.0136317416282703, 0.0307411634745336, 0.0233139437128775, 0.0038317476047705, -0.0013720835790444, 0.0243391168891654, -0.008987279911366, -0.0131531009602019, 0.0882281488039222, 0.0042562324767425, -0.0719061510184213, -0.0086144820088555, 0.0800151734831391, 0.0073082380905397, 0.0018466021022051, -0.0209524696787448, 0.0143094539230307, 0.1078922494240774, 0.0331435552061469, -0.0617738881078939, 0.0115993830334742, 0.0866598700316151, 0.0183521110175809, -0.0144255208052917, 0.0128014481861138, 0.0275574596807213, 0.1461355940261494, 0.0459757904496849, -0.0383394319884606, 0.0265946794111282, 0.1154504024549739, 0.0305377385299878, 1.54394640796e-05, 0.0295970318938242, 0.0076871077818952]|  0.0002180752672667|      0.00001526|[9700, 3200, 100, 300]                                                     |  | used linear model with 129 points | iterate success | actual_k=16
     101|[0.0387119465477921, 0.069051865743412, 0.0180001326655201, -0.0335393792819996, -0.0020105321090903, 0.0209970559240879, -0.0501064631050783, 0.013869811741189, 0.0036016717928179, -0.0104013614117097, -0.0248255866750059, -0.0093403413907981, -0.026346346121072, 0.0039682920123357, -0.0015044740017658, -0.0349328835131426, -0.0219706879902853, -0.0200457365851086, 0.0197241223056055, -0.032119747107698, -0.0315148603435139, -0.0341258176126352, 0.0136317416282703, 0.0307411634745336, 0.0233139437128775, 0.0038317476047705, -0.0013720835790444, 0.0243391168891654, -0.008987279911366, -0.0131531009602019, 0.0882281488039222, 0.0042562324767425, -0.0719061510184213, -0.0086144820088555, 0.0800151734831391, 0.0073082380905397, 0.0018466021022051, -0.0209524696787448, 0.0143094539230307, 0.1078922494240774, 0.0331435552061469, -0.0617738881078939, 0.0115993830334742, 0.0866598700316151, 0.0183521110175809, -0.0144255208052917, 0.0128014481861138, 0.0275574596807213, 0.1461355940261494, 0.0459757904496849, -0.0383394319884606, 0.0265946794111282, 0.1154504024549739, 0.0305377385299878, 1.54394640796e-05, 0.0295970318938242, 0.0076871077818952]|  0.0002180752672667|      0.00000763|[9797, 3232, 101, 303]                                                     |  | used linear model with 129 points | iterate failure | actual_k=16
     102|[0.0387105006024843, 0.069051757445221, 0.0180025060290547, -0.0335389595732079, -0.0020082418017777, 0.0209969206585809, -0.0501064802574635, 0.0138695014112767, 0.003603171696858, -0.0104009107858501, -0.0248252114053101, -0.0093413537069826, -0.0263468889733939, 0.0039703406126568, -0.001504566643585, -0.0349335801307996, -0.0219710387454803, -0.0200460340227333, 0.0197241823763231, -0.0321179617907861, -0.0315153899894286, -0.0341249591288348, 0.0136303423705784, 0.0307412187228828, 0.0233137279817809, 0.0038322757642266, -0.0013711964614016, 0.0243391908978037, -0.0089863336219224, -0.0131527158154545, 0.0882278628299428, 0.004256387761935, -0.0719075068429259, -0.0086144044409088, 0.0800148390950979, 0.0073070965375418, 0.0018476948747972, -0.0209530571120383, 0.0143092470719463, 0.107890536448058, 0.0331444695257824, -0.0617728085077565, 0.0115983466437054, 0.0866581191479365, 0.0183523965793453, -0.0144251060095707, 0.0128002070361929, 0.0275571739268685, 0.1461379469266103, 0.0459758464574431, -0.0383404161139395, 0.0265948859587167, 0.115452412844197, 0.0305379307576638, 1.59120368666e-05, 0.0295980107427477, 0.0076873914586428]|  0.0001675007512501|      0.00001526|[9894, 3264, 102, 306]                                                     |  | used linear model with 129 points | iterate success | actual_k=16
     103|[0.0387105006024843, 0.069051757445221, 0.0180025060290547, -0.0335389595732079, -0.0020082418017777, 0.0209969206585809, -0.0501064802574635, 0.0138695014112767, 0.003603171696858, -0.0104009107858501, -0.0248252114053101, -0.0093413537069826, -0.0263468889733939, 0.0039703406126568, -0.001504566643585, -0.0349335801307996, -0.0219710387454803, -0.0200460340227333, 0.0197241823763231, -0.0321179617907861, -0.0315153899894286, -0.0341249591288348, 0.0136303423705784, 0.0307412187228828, 0.0233137279817809, 0.0038322757642266, -0.0013711964614016, 0.0243391908978037, -0.0089863336219224, -0.0131527158154545, 0.0882278628299428, 0.004256387761935, -0.0719075068429259, -0.0086144044409088, 0.0800148390950979, 0.0073070965375418, 0.0018476948747972, -0.0209530571120383, 0.0143092470719463, 0.107890536448058, 0.0331444695257824, -0.0617728085077565, 0.0115983466437054, 0.0866581191479365, 0.0183523965793453, -0.0144251060095707, 0.0128002070361929, 0.0275571739268685, 0.1461379469266103, 0.0459758464574431, -0.0383404161139395, 0.0265948859587167, 0.115452412844197, 0.0305379307576638, 1.59120368666e-05, 0.0295980107427477, 0.0076873914586428]|  0.0001675007512501|      0.00000763|[9991, 3296, 103, 309]                                                     |  | used linear model with 129 points | iterate failure | actual_k=16
     104|[0.0387105006024843, 0.069051757445221, 0.0180025060290547, -0.0335389595732079, -0.0020082418017777, 0.0209969206585809, -0.0501064802574635, 0.0138695014112767, 0.003603171696858, -0.0104009107858501, -0.0248252114053101, -0.0093413537069826, -0.0263468889733939, 0.0039703406126568, -0.001504566643585, -0.0349335801307996, -0.0219710387454803, -0.0200460340227333, 0.0197241823763231, -0.0321179617907861, -0.0315153899894286, -0.0341249591288348, 0.0136303423705784, 0.0307412187228828, 0.0233137279817809, 0.0038322757642266, -0.0013711964614016, 0.0243391908978037, -0.0089863336219224, -0.0131527158154545, 0.0882278628299428, 0.004256387761935, -0.0719075068429259, -0.0086144044409088, 0.0800148390950979, 0.0073070965375418, 0.0018476948747972, -0.0209530571120383, 0.0143092470719463, 0.107890536448058, 0.0331444695257824, -0.0617728085077565, 0.0115983466437054, 0.0866581191479365, 0.0183523965793453, -0.0144251060095707, 0.0128002070361929, 0.0275571739268685, 0.1461379469266103, 0.0459758464574431, -0.0383404161139395, 0.0265948859587167, 0.115452412844197, 0.0305379307576638, 1.59120368666e-05, 0.0295980107427477, 0.0076873914586428]|  0.0001675007512501|      0.00000381|[10088, 3328, 104, 312]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     105|[0.0387120233155743, 0.0690515395038525, 0.0180012685275816, -0.0335398185579936, -0.0020094480722363, 0.0209969778672237, -0.0501057788411549, 0.0138689327344414, 0.0036023713757317, -0.0104013080083407, -0.0248256889483704, -0.0093413288916569, -0.026347426260298, 0.0039701538813819, -0.0015047338628009, -0.0349330216147231, -0.0219713532276718, -0.0200458746289191, 0.0197241718379681, -0.0321177042442168, -0.031515184918759, -0.0341253943341575, 0.0136299031449329, 0.0307413646324898, 0.0233140591137641, 0.0038324301932706, -0.0013714934759848, 0.0243391457846781, -0.0089867818120239, -0.0131525933153, 0.0882279539575825, 0.0042560862514787, -0.0719073923158917, -0.0086146307588319, 0.0800150870922065, 0.007307258931284, 0.0018478213651627, -0.0209530968122988, 0.0143092153602276, 0.1078904405300416, 0.0331436316612326, -0.0617728089298386, 0.0115989155470985, 0.08665788116376, 0.0183527397999111, -0.0144252698994456, 0.0128001117387485, 0.02755722910005, 0.1461390560722365, 0.0459758593217175, -0.0383405037126267, 0.0265950782120152, 0.1154535603048295, 0.0305381005156219, 1.61401169641e-05, 0.029598800293449, 0.0076876406740386]|  0.0000812607901851|      0.00000763|[10185, 3360, 105, 315]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     106|[0.0387120233155743, 0.0690515395038525, 0.0180012685275816, -0.0335398185579936, -0.0020094480722363, 0.0209969778672237, -0.0501057788411549, 0.0138689327344414, 0.0036023713757317, -0.0104013080083407, -0.0248256889483704, -0.0093413288916569, -0.026347426260298, 0.0039701538813819, -0.0015047338628009, -0.0349330216147231, -0.0219713532276718, -0.0200458746289191, 0.0197241718379681, -0.0321177042442168, -0.031515184918759, -0.0341253943341575, 0.0136299031449329, 0.0307413646324898, 0.0233140591137641, 0.0038324301932706, -0.0013714934759848, 0.0243391457846781, -0.0089867818120239, -0.0131525933153, 0.0882279539575825, 0.0042560862514787, -0.0719073923158917, -0.0086146307588319, 0.0800150870922065, 0.007307258931284, 0.0018478213651627, -0.0209530968122988, 0.0143092153602276, 0.1078904405300416, 0.0331436316612326, -0.0617728089298386, 0.0115989155470985, 0.08665788116376, 0.0183527397999111, -0.0144252698994456, 0.0128001117387485, 0.02755722910005, 0.1461390560722365, 0.0459758593217175, -0.0383405037126267, 0.0265950782120152, 0.1154535603048295, 0.0305381005156219, 1.61401169641e-05, 0.029598800293449, 0.0076876406740386]|  0.0000812607901851|      0.00000381|[10282, 3392, 106, 318]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     107|[0.0387120233155743, 0.0690515395038525, 0.0180012685275816, -0.0335398185579936, -0.0020094480722363, 0.0209969778672237, -0.0501057788411549, 0.0138689327344414, 0.0036023713757317, -0.0104013080083407, -0.0248256889483704, -0.0093413288916569, -0.026347426260298, 0.0039701538813819, -0.0015047338628009, -0.0349330216147231, -0.0219713532276718, -0.0200458746289191, 0.0197241718379681, -0.0321177042442168, -0.031515184918759, -0.0341253943341575, 0.0136299031449329, 0.0307413646324898, 0.0233140591137641, 0.0038324301932706, -0.0013714934759848, 0.0243391457846781, -0.0089867818120239, -0.0131525933153, 0.0882279539575825, 0.0042560862514787, -0.0719073923158917, -0.0086146307588319, 0.0800150870922065, 0.007307258931284, 0.0018478213651627, -0.0209530968122988, 0.0143092153602276, 0.1078904405300416, 0.0331436316612326, -0.0617728089298386, 0.0115989155470985, 0.08665788116376, 0.0183527397999111, -0.0144252698994456, 0.0128001117387485, 0.02755722910005, 0.1461390560722365, 0.0459758593217175, -0.0383405037126267, 0.0265950782120152, 0.1154535603048295, 0.0305381005156219, 1.61401169641e-05, 0.029598800293449, 0.0076876406740386]|  0.0000812607901851|      0.00000191|[10379, 3424, 107, 321]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     108|[0.0387117760552812, 0.0690517884835341, 0.018001531041242, -0.0335394046279059, -0.0020088841433291, 0.0209970273939835, -0.0501060670625821, 0.0138690686547936, 0.0036025079191261, -0.0104010806485407, -0.0248253803313006, -0.0093413366918406, -0.0263473201391353, 0.0039699831392587, -0.001504799795841, -0.034932966877152, -0.0219714029320119, -0.0200458302873415, 0.0197242908374875, -0.0321175925466927, -0.0315150796942984, -0.0341255068865066, 0.0136305570878282, 0.0307416179718776, 0.0233138203638529, 0.0038324146213324, -0.0013713595484812, 0.0243393646544019, -0.0089868424055282, -0.0131525149345788, 0.0882277906753947, 0.0042559943685773, -0.0719072672905326, -0.0086147816904374, 0.08001481210116, 0.0073070795638793, 0.0018477027205479, -0.0209530705919267, 0.0143091794181387, 0.1078901001101704, 0.0331437516515545, -0.0617727598588716, 0.011598780353811, 0.0866575146875692, 0.0183527126670313, -0.014425327649665, 0.012800146957365, 0.0275572987505312, 0.146139788581634, 0.0459760267683439, -0.0383409426679706, 0.0265951621544149, 0.115454337557493, 0.0305382663202122, 1.62465243009e-05, 0.029598865842499, 0.0076878757903613]|  0.0000530253310544|      0.00000381|[10476, 3456, 108, 324]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     109|[0.0387117760552812, 0.0690517884835341, 0.018001531041242, -0.0335394046279059, -0.0020088841433291, 0.0209970273939835, -0.0501060670625821, 0.0138690686547936, 0.0036025079191261, -0.0104010806485407, -0.0248253803313006, -0.0093413366918406, -0.0263473201391353, 0.0039699831392587, -0.001504799795841, -0.034932966877152, -0.0219714029320119, -0.0200458302873415, 0.0197242908374875, -0.0321175925466927, -0.0315150796942984, -0.0341255068865066, 0.0136305570878282, 0.0307416179718776, 0.0233138203638529, 0.0038324146213324, -0.0013713595484812, 0.0243393646544019, -0.0089868424055282, -0.0131525149345788, 0.0882277906753947, 0.0042559943685773, -0.0719072672905326, -0.0086147816904374, 0.08001481210116, 0.0073070795638793, 0.0018477027205479, -0.0209530705919267, 0.0143091794181387, 0.1078901001101704, 0.0331437516515545, -0.0617727598588716, 0.011598780353811, 0.0866575146875692, 0.0183527126670313, -0.014425327649665, 0.012800146957365, 0.0275572987505312, 0.146139788581634, 0.0459760267683439, -0.0383409426679706, 0.0265951621544149, 0.115454337557493, 0.0305382663202122, 1.62465243009e-05, 0.029598865842499, 0.0076878757903613]|  0.0000530253310544|      0.00000191|[10573, 3488, 109, 327]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     110|[0.0387122105969373, 0.0690518352330126, 0.0180014267454068, -0.0335396765636451, -0.0020093326933275, 0.0209971472282523, -0.0501059817022714, 0.0138690205316235, 0.0036024014846617, -0.0104012015860255, -0.0248254314608796, -0.0093412332133961, -0.026347365116132, 0.0039699463231955, -0.0015048422925241, -0.0349329485700134, -0.0219713575273538, -0.0200458682463957, 0.019724352403248, -0.0321173520410762, -0.031515041254766, -0.034125651879348, 0.0136304357508838, 0.0307416809843149, 0.0233136385757395, 0.0038322787047026, -0.0013713679944305, 0.0243391796240566, -0.008986858209175, -0.0131525791616103, 0.0882275372351124, 0.004256071070791, -0.0719072162148579, -0.008615070343591, 0.0800143718998263, 0.0073070316151156, 0.0018480611441275, -0.0209534001295633, 0.0143091959801752, 0.1078899066602744, 0.0331433955207541, -0.0617728800337466, 0.0115989252216248, 0.0866571881472599, 0.0183526510252998, -0.0144255743859364, 0.0128000430099376, 0.0275572011662607, 0.1461405339163707, 0.0459759202035686, -0.0383415781920434, 0.0265954946978345, 0.1154550305100614, 0.0305385595304795, 1.62739175909e-05, 0.0295989214478589, 0.007688389137979]|  0.0000350603323234|      0.00000381|[10670, 3520, 110, 330]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     111|[0.0387118253967285, 0.069052133162092, 0.0180019466689059, -0.0335391065972273, -0.0020086643384697, 0.0209971938223424, -0.050106785330028, 0.013869162028251, 0.0036028343906948, -0.0104014032662242, -0.0248257372174058, -0.0093415919091963, -0.0263470028045551, 0.0039696740153347, -0.0015043026535001, -0.0349326574955217, -0.0219710132563859, -0.0200462261300278, 0.0197242849416736, -0.0321171358102305, -0.0315143805340825, -0.0341265219166197, 0.0136306705927204, 0.0307415025904761, 0.0233132773476429, 0.0038326570125299, -0.0013715539195445, 0.0243388834441905, -0.0089871716783344, -0.0131525353068874, 0.0882275706011415, 0.0042558592003302, -0.0719074758634895, -0.0086158515001804, 0.0800143919562189, 0.0073070656224507, 0.0018483827471546, -0.0209532210876693, 0.0143088440552175, 0.1078897122744862, 0.033143461506901, -0.0617722966832192, 0.0115987602700195, 0.0866562727764156, 0.018351736954863, -0.0144250025723615, 0.012799855113745, 0.0275574546876617, 0.1461419146146865, 0.04597597744882, -0.0383416443190023, 0.0265954021231078, 0.115456554524669, 0.0305390787773586, 1.56839001823e-05, 0.029598688058485, 0.0076894318718571]|  0.0000241007027137|      0.00000763|[10767, 3552, 111, 333]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     112|[0.0387118253967285, 0.069052133162092, 0.0180019466689059, -0.0335391065972273, -0.0020086643384697, 0.0209971938223424, -0.050106785330028, 0.013869162028251, 0.0036028343906948, -0.0104014032662242, -0.0248257372174058, -0.0093415919091963, -0.0263470028045551, 0.0039696740153347, -0.0015043026535001, -0.0349326574955217, -0.0219710132563859, -0.0200462261300278, 0.0197242849416736, -0.0321171358102305, -0.0315143805340825, -0.0341265219166197, 0.0136306705927204, 0.0307415025904761, 0.0233132773476429, 0.0038326570125299, -0.0013715539195445, 0.0243388834441905, -0.0089871716783344, -0.0131525353068874, 0.0882275706011415, 0.0042558592003302, -0.0719074758634895, -0.0086158515001804, 0.0800143919562189, 0.0073070656224507, 0.0018483827471546, -0.0209532210876693, 0.0143088440552175, 0.1078897122744862, 0.033143461506901, -0.0617722966832192, 0.0115987602700195, 0.0866562727764156, 0.018351736954863, -0.0144250025723615, 0.012799855113745, 0.0275574546876617, 0.1461419146146865, 0.04597597744882, -0.0383416443190023, 0.0265954021231078, 0.115456554524669, 0.0305390787773586, 1.56839001823e-05, 0.029598688058485, 0.0076894318718571]|  0.0000241007027137|      0.00000381|[10864, 3584, 112, 336]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     113|[0.0387118253967285, 0.069052133162092, 0.0180019466689059, -0.0335391065972273, -0.0020086643384697, 0.0209971938223424, -0.050106785330028, 0.013869162028251, 0.0036028343906948, -0.0104014032662242, -0.0248257372174058, -0.0093415919091963, -0.0263470028045551, 0.0039696740153347, -0.0015043026535001, -0.0349326574955217, -0.0219710132563859, -0.0200462261300278, 0.0197242849416736, -0.0321171358102305, -0.0315143805340825, -0.0341265219166197, 0.0136306705927204, 0.0307415025904761, 0.0233132773476429, 0.0038326570125299, -0.0013715539195445, 0.0243388834441905, -0.0089871716783344, -0.0131525353068874, 0.0882275706011415, 0.0042558592003302, -0.0719074758634895, -0.0086158515001804, 0.0800143919562189, 0.0073070656224507, 0.0018483827471546, -0.0209532210876693, 0.0143088440552175, 0.1078897122744862, 0.033143461506901, -0.0617722966832192, 0.0115987602700195, 0.0866562727764156, 0.018351736954863, -0.0144250025723615, 0.012799855113745, 0.0275574546876617, 0.1461419146146865, 0.04597597744882, -0.0383416443190023, 0.0265954021231078, 0.115456554524669, 0.0305390787773586, 1.56839001823e-05, 0.029598688058485, 0.0076894318718571]|  0.0000241007027137|      0.00000191|[10961, 3616, 113, 339]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     114|[0.0387124098484177, 0.0690518633641405, 0.0180012724693316, -0.0335399207403244, -0.0020093380621136, 0.0209972597682673, -0.0501065044189994, 0.0138689196115626, 0.0036022616903636, -0.0104017772025036, -0.0248261111066226, -0.0093415502819553, -0.0263471032004493, 0.0039695412521316, -0.0015042068478258, -0.0349326192588281, -0.0219709980321555, -0.0200462937674976, 0.0197243424405677, -0.0321170479518386, -0.0315144016876033, -0.0341262283782252, 0.0136307527307807, 0.0307415450802388, 0.0233131651014714, 0.0038327018572041, -0.0013714426393363, 0.0243388672766151, -0.0089870354561456, -0.0131524747294933, 0.0882273855974197, 0.0042555465578511, -0.0719072512469188, -0.008615765884283, 0.080014383168967, 0.0073070155081615, 0.0018482607779786, -0.0209533198006719, 0.0143087820572419, 0.1078895803215745, 0.0331432172058048, -0.0617724614317141, 0.0115986442161398, 0.0866561684462992, 0.0183517311779451, -0.0144249526737406, 0.0127997993705785, 0.0275574962732463, 0.1461421330568661, 0.0459758386740257, -0.0383419608612763, 0.026595506925364, 0.1154569252750513, 0.0305391228912309, 1.57268498116e-05, 0.0295987931979565, 0.0076895540245429]|  0.0000168350131412|      0.00000381|[11058, 3648, 114, 342]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     115|[0.0387124098484177, 0.0690518633641405, 0.0180012724693316, -0.0335399207403244, -0.0020093380621136, 0.0209972597682673, -0.0501065044189994, 0.0138689196115626, 0.0036022616903636, -0.0104017772025036, -0.0248261111066226, -0.0093415502819553, -0.0263471032004493, 0.0039695412521316, -0.0015042068478258, -0.0349326192588281, -0.0219709980321555, -0.0200462937674976, 0.0197243424405677, -0.0321170479518386, -0.0315144016876033, -0.0341262283782252, 0.0136307527307807, 0.0307415450802388, 0.0233131651014714, 0.0038327018572041, -0.0013714426393363, 0.0243388672766151, -0.0089870354561456, -0.0131524747294933, 0.0882273855974197, 0.0042555465578511, -0.0719072512469188, -0.008615765884283, 0.080014383168967, 0.0073070155081615, 0.0018482607779786, -0.0209533198006719, 0.0143087820572419, 0.1078895803215745, 0.0331432172058048, -0.0617724614317141, 0.0115986442161398, 0.0866561684462992, 0.0183517311779451, -0.0144249526737406, 0.0127997993705785, 0.0275574962732463, 0.1461421330568661, 0.0459758386740257, -0.0383419608612763, 0.026595506925364, 0.1154569252750513, 0.0305391228912309, 1.57268498116e-05, 0.0295987931979565, 0.0076895540245429]|  0.0000168350131412|      0.00000191|[11155, 3680, 115, 345]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     116|[0.0387124098484177, 0.0690518633641405, 0.0180012724693316, -0.0335399207403244, -0.0020093380621136, 0.0209972597682673, -0.0501065044189994, 0.0138689196115626, 0.0036022616903636, -0.0104017772025036, -0.0248261111066226, -0.0093415502819553, -0.0263471032004493, 0.0039695412521316, -0.0015042068478258, -0.0349326192588281, -0.0219709980321555, -0.0200462937674976, 0.0197243424405677, -0.0321170479518386, -0.0315144016876033, -0.0341262283782252, 0.0136307527307807, 0.0307415450802388, 0.0233131651014714, 0.0038327018572041, -0.0013714426393363, 0.0243388672766151, -0.0089870354561456, -0.0131524747294933, 0.0882273855974197, 0.0042555465578511, -0.0719072512469188, -0.008615765884283, 0.080014383168967, 0.0073070155081615, 0.0018482607779786, -0.0209533198006719, 0.0143087820572419, 0.1078895803215745, 0.0331432172058048, -0.0617724614317141, 0.0115986442161398, 0.0866561684462992, 0.0183517311779451, -0.0144249526737406, 0.0127997993705785, 0.0275574962732463, 0.1461421330568661, 0.0459758386740257, -0.0383419608612763, 0.026595506925364, 0.1154569252750513, 0.0305391228912309, 1.57268498116e-05, 0.0295987931979565, 0.0076895540245429]|  0.0000168350131412|      0.00000095|[11252, 3712, 116, 348]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
     117|[0.0387122297691176, 0.0690521288741707, 0.0180015470456661, -0.0335395145702793, -0.0020089171727496, 0.0209972063380691, -0.05010665984187, 0.0138690644360902, 0.0036024888589473, -0.0104015589469628, -0.0248259051082375, -0.0093414975975128, -0.0263471218794545, 0.0039695710251132, -0.0015041775045573, -0.0349326590785465, -0.0219709467687879, -0.0200463750883875, 0.0197242706482132, -0.0321170299673342, -0.0315143669850424, -0.0341260866646145, 0.0136308972195458, 0.0307415604753393, 0.0233130406338642, 0.0038327321892051, -0.001371378950377, 0.0243389002443569, -0.0089869788320265, -0.0131524454173609, 0.0882273422219672, 0.0042554667476696, -0.0719071966603813, -0.0086157724389572, 0.0800143078992564, 0.0073070026480447, 0.0018481978867638, -0.0209532665405516, 0.0143088179598593, 0.1078894845334174, 0.0331432799624686, -0.0617724080646655, 0.0115986359618667, 0.0866561150037209, 0.0183517096266522, -0.0144249692797044, 0.0127997140048051, 0.0275575034540075, 0.1461422610731425, 0.0459759722639557, -0.0383420294126275, 0.0265954437036655, 0.1154570391220913, 0.0305391094317555, 1.57517528187e-05, 0.0295988106814024, 0.0076895863842473]|  0.0000078383783758|      0.00000191|[11349, 3744, 117, 351]                                                    |  | used linear model with 129 points | iterate success | actual_k=16
     118|[0.0387122297691176, 0.0690521288741707, 0.0180015470456661, -0.0335395145702793, -0.0020089171727496, 0.0209972063380691, -0.05010665984187, 0.0138690644360902, 0.0036024888589473, -0.0104015589469628, -0.0248259051082375, -0.0093414975975128, -0.0263471218794545, 0.0039695710251132, -0.0015041775045573, -0.0349326590785465, -0.0219709467687879, -0.0200463750883875, 0.0197242706482132, -0.0321170299673342, -0.0315143669850424, -0.0341260866646145, 0.0136308972195458, 0.0307415604753393, 0.0233130406338642, 0.0038327321892051, -0.001371378950377, 0.0243389002443569, -0.0089869788320265, -0.0131524454173609, 0.0882273422219672, 0.0042554667476696, -0.0719071966603813, -0.0086157724389572, 0.0800143078992564, 0.0073070026480447, 0.0018481978867638, -0.0209532665405516, 0.0143088179598593, 0.1078894845334174, 0.0331432799624686, -0.0617724080646655, 0.0115986359618667, 0.0866561150037209, 0.0183517096266522, -0.0144249692797044, 0.0127997140048051, 0.0275575034540075, 0.1461422610731425, 0.0459759722639557, -0.0383420294126275, 0.0265954437036655, 0.1154570391220913, 0.0305391094317555, 1.57517528187e-05, 0.0295988106814024, 0.0076895863842473]|  0.0000078383783758|      0.00000095|[11446, 3776, 118, 354]                                                    |  | used linear model with 129 points | iterate failure | actual_k=16
