k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      10|[-0.6347952224314213, 3.4885885939002037, 4.079300120472908, 0.3611233811825514, 2.2268407619558275, 0.0071934759616852, 2.7043877788819373, 1.8596514649689198, -0.8352228160947561, 0.1275488119572401, 0.7403327906504273, 2.259637422161177, 0.9657699852250516, 1.5527157932519913, -0.8874445781111717, 1.0231706239283085, -0.0847441107034683, -0.0397405847907066, 1.948444502428174, 1.6282845977693796, 1.8605272360146046, -1.478646904695779, -2.3630921989679337, -0.0438083936460316, -0.160138494335115, 2.1758282212540507, 0.7131385775282979, -0.8961045248433948, 0.4069816023111343, 0.3788411463610828, 1.2243394698016346, 0.4108887910842896, 1.1900056371232495, 0.416542082792148, 1.7196943217422813, 1.1940076583996415, 0.0137019734829664, 0.4328843103721738, 0.4712857501581311, 1.0741517818532884, 1.2103429539129138, -0.021096212149132, 0.7048188980552368, 1.3482527355663478, 1.102097017079359, 1.1445724754594266, 1.6392898705671541, 0.880970950704068, 1.5494017283490393, 0.4610154684633017, -0.3966837204061449, -0.6530196126550436, -2.0161070621034014, 8.335544170811772]|155.6214447021484375|      1.00000000|[1201, 80, 0, 20]                                                          | 
      11|[-0.5996930859982967, 3.407780334353447, 3.7578361481428146, 0.3192806001752615, 2.2370883491821587, -0.0302248075604439, 2.9475822993554175, 1.9066243954002857, -1.0508689489215612, 0.0900720078498125, 0.7645410811528563, 2.4080469377804548, 0.947219496127218, 1.626641646027565, -0.7194851860404015, 1.126490954309702, -0.0467987433075905, -0.2166245505213737, 1.807662846520543, 1.8200123403221369, 1.891561083495617, -1.6276007001288235, -2.3014433830976486, 0.5806616018526256, -0.1894790222868323, 2.2614287240430713, 0.9649621518328786, -0.8291368884965777, 0.3241731822490692, 0.5027362476103008, 1.1975618000142276, 0.4435618706047535, 1.1700049130013213, 0.4541049858089536, 1.776649778475985, 1.1632363451644778, -0.1005003619939089, 0.4460430536419153, 0.5773485051468015, 1.1032222188077867, 1.1721782675012946, -0.0274679677677341, 0.5763089742395096, 1.2225346039049327, 1.0586279829440173, 1.1184421661309898, 1.5499713939498179, 0.8534890278242528, 1.6297323088219855, 0.4058553259819746, -0.3157124347053468, -0.7495720665901899, -2.039474699871789, 8.356142397969961]|149.1492004394531250|      3.33333333|[1321, 88, 0, 22]                                                          | 
      12|[-0.5996930859982967, 3.407780334353447, 3.7578361481428146, 0.3192806001752615, 2.2370883491821587, -0.0302248075604439, 2.9475822993554175, 1.9066243954002857, -1.0508689489215612, 0.0900720078498125, 0.7645410811528563, 2.4080469377804548, 0.947219496127218, 1.626641646027565, -0.7194851860404015, 1.126490954309702, -0.0467987433075905, -0.2166245505213737, 1.807662846520543, 1.8200123403221369, 1.891561083495617, -1.6276007001288235, -2.3014433830976486, 0.5806616018526256, -0.1894790222868323, 2.2614287240430713, 0.9649621518328786, -0.8291368884965777, 0.3241731822490692, 0.5027362476103008, 1.1975618000142276, 0.4435618706047535, 1.1700049130013213, 0.4541049858089536, 1.776649778475985, 1.1632363451644778, -0.1005003619939089, 0.4460430536419153, 0.5773485051468015, 1.1032222188077867, 1.1721782675012946, -0.0274679677677341, 0.5763089742395096, 1.2225346039049327, 1.0586279829440173, 1.1184421661309898, 1.5499713939498179, 0.8534890278242528, 1.6297323088219855, 0.4058553259819746, -0.3157124347053468, -0.7495720665901899, -2.039474699871789, 8.356142397969961]|149.1492004394531250|      1.00000000|[1441, 96, 0, 24]                                                          | 
      13|[-0.5996930859982967, 3.407780334353447, 3.7578361481428146, 0.3192806001752615, 2.2370883491821587, -0.0302248075604439, 2.9475822993554175, 1.9066243954002857, -1.0508689489215612, 0.0900720078498125, 0.7645410811528563, 2.4080469377804548, 0.947219496127218, 1.626641646027565, -0.7194851860404015, 1.126490954309702, -0.0467987433075905, -0.2166245505213737, 1.807662846520543, 1.8200123403221369, 1.891561083495617, -1.6276007001288235, -2.3014433830976486, 0.5806616018526256, -0.1894790222868323, 2.2614287240430713, 0.9649621518328786, -0.8291368884965777, 0.3241731822490692, 0.5027362476103008, 1.1975618000142276, 0.4435618706047535, 1.1700049130013213, 0.4541049858089536, 1.776649778475985, 1.1632363451644778, -0.1005003619939089, 0.4460430536419153, 0.5773485051468015, 1.1032222188077867, 1.1721782675012946, -0.0274679677677341, 0.5763089742395096, 1.2225346039049327, 1.0586279829440173, 1.1184421661309898, 1.5499713939498179, 0.8534890278242528, 1.6297323088219855, 0.4058553259819746, -0.3157124347053468, -0.7495720665901899, -2.039474699871789, 8.356142397969961]|149.1492004394531250|      0.30000000|[1561, 104, 0, 26]                                                         | 
      14|[-0.6348694711923599, 3.3226006850600243, 3.791627611964941, 0.3514711987227201, 2.294184335041791, -0.0182693116366863, 3.0032565244473517, 1.8850484061986208, -1.019000606611371, 0.0984710827469826, 0.7781812334433198, 2.4138227358926088, 0.9710270087234676, 1.5465403199195862, -0.6411701068282127, 1.0718683823943138, -0.1118460670113564, -0.2241697963327169, 1.8687528353184462, 1.936675587669015, 1.909580733627081, -1.604811078403145, -2.1539281606674194, 0.5662487619556487, -0.1818697205744684, 2.247348979115486, 0.9373567709699273, -0.834897035267204, 0.3645489066839218, 0.5156006240285933, 1.20454615727067, 0.4630403574556112, 1.1787222953280434, 0.4443731855135411, 1.752062659477815, 1.1774952504783869, -0.1087840115651488, 0.4400890804827213, 0.5814226269721985, 1.1059778181370348, 1.1447381107136607, -0.0253940192633308, 0.5873376505332999, 1.2091113035567105, 1.0498399858770426, 1.0934805660508573, 1.512931018776726, 0.8302880912087858, 1.6077035646012519, 0.3905256548896432, -0.3498963019810617, -0.7656563110649586, -2.05717459529842, 8.356326459950651]|145.6368865966796875|      1.00000000|[1681, 112, 0, 28]                                                         | 
      15|[-0.6348694711923599, 3.3226006850600243, 3.791627611964941, 0.3514711987227201, 2.294184335041791, -0.0182693116366863, 3.0032565244473517, 1.8850484061986208, -1.019000606611371, 0.0984710827469826, 0.7781812334433198, 2.4138227358926088, 0.9710270087234676, 1.5465403199195862, -0.6411701068282127, 1.0718683823943138, -0.1118460670113564, -0.2241697963327169, 1.8687528353184462, 1.936675587669015, 1.909580733627081, -1.604811078403145, -2.1539281606674194, 0.5662487619556487, -0.1818697205744684, 2.247348979115486, 0.9373567709699273, -0.834897035267204, 0.3645489066839218, 0.5156006240285933, 1.20454615727067, 0.4630403574556112, 1.1787222953280434, 0.4443731855135411, 1.752062659477815, 1.1774952504783869, -0.1087840115651488, 0.4400890804827213, 0.5814226269721985, 1.1059778181370348, 1.1447381107136607, -0.0253940192633308, 0.5873376505332999, 1.2091113035567105, 1.0498399858770426, 1.0934805660508573, 1.512931018776726, 0.8302880912087858, 1.6077035646012519, 0.3905256548896432, -0.3498963019810617, -0.7656563110649586, -2.05717459529842, 8.356326459950651]|145.6368865966796875|      0.30000000|[1801, 120, 0, 30]                                                         | 
      16|[-0.6546911150217056, 3.0421028062701225, 3.6488284282386303, 0.4746078159660101, 2.2307887305505574, 0.0251204594969749, 3.003528061846737, 1.7939890939742327, -0.9925447348505259, 0.0682842861860991, 0.8381690243259072, 2.426906827138737, 1.0458824108354747, 1.532638336531818, -0.6948943473398685, 0.976717047393322, -0.0625262968242168, -0.1674981471151114, 1.8937460351735353, 1.9622392114251852, 1.8428765498101711, -1.5804457985796034, -2.0164697468280792, 0.6196805224753916, -0.157118848990649, 2.204209793359041, 0.9073668112978339, -0.7954718819819391, 0.279092401266098, 0.4720668666996062, 1.1156079210340977, 0.4719123393297195, 1.1275367917260155, 0.5050701152067631, 1.830901022767648, 1.1092123854905367, -0.1508829472586513, 0.5963902808725834, 0.5474068000912666, 1.190127566223964, 1.1493534995242953, -0.0372487004497088, 0.7457813547807746, 1.319136739242822, 1.02328934831894, 1.0469277217052877, 1.524183967791032, 0.9811674146912992, 1.665179798292229, 0.32165711466223, -0.315016636159271, -0.9135030247271061, -2.0954624249061453, 8.286412029570783]|138.4170989990234375|      1.00000000|[1921, 128, 0, 32]                                                         | 
      17|[-0.5736436396837234, 2.6749172732234, 3.3710651509463787, 0.4266188126057386, 2.5365982581861317, 0.0356479082256556, 2.7663850072422065, 1.7711270898580551, -0.8671629372984171, 0.0805825367569923, 0.823839764110744, 2.3535250753629953, 1.050917986780405, 1.4888739911839366, -0.7803184278309345, 0.895998127758503, -0.1106793731451035, -0.0224650856107473, 1.8527362253516912, 1.689596539363265, 1.9164976812899113, -1.9782642447389662, -2.05610953271389, 0.5820668251253664, 0.2128827651031315, 2.403403375297785, 0.6187129905447364, -0.7883078791201115, 0.3238502778112888, 0.4358752020634711, 1.1778130866587162, 0.5023682955652475, 1.1842264080187306, 0.5541108574252576, 1.830077893275302, 1.0814162641763687, -0.1842766208574176, 0.528917696326971, 0.5071843564510345, 1.1866454840637743, 1.208136341534555, -0.0750837955274619, 0.7405045118066482, 1.2923583132214844, 0.962355467810994, 1.0186971141956747, 1.5384411156992428, 0.8498856364749372, 1.6434308811149094, 0.3760678404942155, -0.2625501803122461, -0.8308789916336536, -2.0555567538758623, 8.246741394556011]|130.9231567382812500|      3.33333333|[2041, 136, 0, 34]                                                         | 
      18|[-0.6163888350129128, 2.541055791079998, 3.2926854453980923, 0.4051963500678539, 2.939459823537618, 0.0388745940290391, 2.50670867000008, 1.9726505875587463, -1.2238250318914652, 0.1197075359523296, 0.8759719831869006, 2.2527875856030732, 0.876210693269968, 2.030693265609443, -0.5400585420429707, 1.1055826023221016, -0.0537098683416843, 0.1738538984209299, 1.7378535252064466, 1.7016370696946979, 2.0149825178086758, -2.2714832150377333, -2.135669492185116, 0.6032611788250506, 0.1938594863750041, 2.152375999838114, 0.7785790851339698, -0.5508147366344929, 0.8829669989645481, 0.6003665723837912, 1.2336037904024124, 0.3499657604843378, 1.183200354455039, 0.2880792047362775, 1.4709265597048216, 0.7760941833257675, -0.4444980127736926, 0.9100570045411587, 0.4311607033014297, 1.2233080142177641, 0.998366198502481, -0.1171142194070853, 1.1352933730813675, 1.0208113831467927, 0.8347505213168915, 0.653298111166805, 1.2254583478788845, 0.9044267400167882, 2.0267929359397385, 0.4833223978057504, -0.1131587824784219, -0.7194084636867046, -1.9455238974114764, 8.263821628919686]|125.5639343261718750|     11.11111111|[2161, 144, 0, 36]                                                         | 
      19|[-0.6163888350129128, 2.541055791079998, 3.2926854453980923, 0.4051963500678539, 2.939459823537618, 0.0388745940290391, 2.50670867000008, 1.9726505875587463, -1.2238250318914652, 0.1197075359523296, 0.8759719831869006, 2.2527875856030732, 0.876210693269968, 2.030693265609443, -0.5400585420429707, 1.1055826023221016, -0.0537098683416843, 0.1738538984209299, 1.7378535252064466, 1.7016370696946979, 2.0149825178086758, -2.2714832150377333, -2.135669492185116, 0.6032611788250506, 0.1938594863750041, 2.152375999838114, 0.7785790851339698, -0.5508147366344929, 0.8829669989645481, 0.6003665723837912, 1.2336037904024124, 0.3499657604843378, 1.183200354455039, 0.2880792047362775, 1.4709265597048216, 0.7760941833257675, -0.4444980127736926, 0.9100570045411587, 0.4311607033014297, 1.2233080142177641, 0.998366198502481, -0.1171142194070853, 1.1352933730813675, 1.0208113831467927, 0.8347505213168915, 0.653298111166805, 1.2254583478788845, 0.9044267400167882, 2.0267929359397385, 0.4833223978057504, -0.1131587824784219, -0.7194084636867046, -1.9455238974114764, 8.263821628919686]|125.5639343261718750|      3.33333333|[2281, 152, 0, 38]                                                         | 
      20|[-0.6163888350129128, 2.541055791079998, 3.2926854453980923, 0.4051963500678539, 2.939459823537618, 0.0388745940290391, 2.50670867000008, 1.9726505875587463, -1.2238250318914652, 0.1197075359523296, 0.8759719831869006, 2.2527875856030732, 0.876210693269968, 2.030693265609443, -0.5400585420429707, 1.1055826023221016, -0.0537098683416843, 0.1738538984209299, 1.7378535252064466, 1.7016370696946979, 2.0149825178086758, -2.2714832150377333, -2.135669492185116, 0.6032611788250506, 0.1938594863750041, 2.152375999838114, 0.7785790851339698, -0.5508147366344929, 0.8829669989645481, 0.6003665723837912, 1.2336037904024124, 0.3499657604843378, 1.183200354455039, 0.2880792047362775, 1.4709265597048216, 0.7760941833257675, -0.4444980127736926, 0.9100570045411587, 0.4311607033014297, 1.2233080142177641, 0.998366198502481, -0.1171142194070853, 1.1352933730813675, 1.0208113831467927, 0.8347505213168915, 0.653298111166805, 1.2254583478788845, 0.9044267400167882, 2.0267929359397385, 0.4833223978057504, -0.1131587824784219, -0.7194084636867046, -1.9455238974114764, 8.263821628919686]|125.5639343261718750|      1.00000000|[2401, 160, 0, 40]                                                         | 
      21|[-0.5812866985797882, 2.4602475315332413, 2.971221473067999, 0.363353569060564, 2.949707410763949, 0.0014563105069101, 2.7499031904735602, 2.0196235179901123, -1.4394711647182703, 0.082230731844902, 0.9001802736893296, 2.401197101222351, 0.8576602041721344, 2.104619118385017, -0.3720991499722004, 1.208902932703495, -0.0157645009458065, -0.0030300673097372, 1.5970718692988157, 1.8933648122474551, 2.046016365289688, -2.4204370104707778, -2.074020676314831, 1.2277311743237078, 0.1127232522703707, 2.2379765026271343, 1.0304026594385505, -0.4838471002876759, 0.800158578902483, 0.7242616736330092, 1.2068261206150055, 0.3826388400048018, 1.1631996303331107, 0.3256421077530831, 1.5278820164385252, 0.7453228700906038, -0.5587003482505679, 0.8262014426290989, 0.5372234582901001, 1.2523784511722624, 0.9602015120908618, -0.1234859750256874, 1.2391807149979286, 0.8950932514853776, 0.7912814871815499, 0.6271678018383682, 1.1361398712615483, 0.8769448171369731, 2.1071235164126847, 0.4281622553244233, -0.0321874967776239, -0.6697720438241959, -1.9688915351798641, 8.284419856077875]|120.7254409790039062|      3.33333333|[2521, 168, 0, 42]                                                         | 
      22|[-0.5812866985797882, 2.4602475315332413, 2.971221473067999, 0.363353569060564, 2.949707410763949, 0.0014563105069101, 2.7499031904735602, 2.0196235179901123, -1.4394711647182703, 0.082230731844902, 0.9001802736893296, 2.401197101222351, 0.8576602041721344, 2.104619118385017, -0.3720991499722004, 1.208902932703495, -0.0157645009458065, -0.0030300673097372, 1.5970718692988157, 1.8933648122474551, 2.046016365289688, -2.4204370104707778, -2.074020676314831, 1.2277311743237078, 0.1127232522703707, 2.2379765026271343, 1.0304026594385505, -0.4838471002876759, 0.800158578902483, 0.7242616736330092, 1.2068261206150055, 0.3826388400048018, 1.1631996303331107, 0.3256421077530831, 1.5278820164385252, 0.7453228700906038, -0.5587003482505679, 0.8262014426290989, 0.5372234582901001, 1.2523784511722624, 0.9602015120908618, -0.1234859750256874, 1.2391807149979286, 0.8950932514853776, 0.7912814871815499, 0.6271678018383682, 1.1361398712615483, 0.8769448171369731, 2.1071235164126847, 0.4281622553244233, -0.0321874967776239, -0.6697720438241959, -1.9688915351798641, 8.284419856077875]|120.7254409790039062|      1.00000000|[2641, 176, 0, 44]                                                         | 
      23|[-0.5575330667197704, 2.4115444906055927, 2.8244474343955517, 0.3480935655534267, 2.954196222592145, -0.0202210159040987, 2.72008844796801, 1.8822900503873825, -1.412727851420641, 0.1055206768214703, 0.8230468267574906, 2.420587503584102, 0.8515117885544896, 2.031301121227443, -0.5198958702385426, 1.1908466313034296, -0.0200760546140373, -0.0386557076126337, 1.53746254183352, 1.8120501143857837, 1.970979169011116, -2.5198208265937865, -2.0359423458576202, 1.290449431631714, 0.1902756080962718, 2.25424287840724, 1.0481618968769908, -0.5029298849403858, 0.7134476639330387, 0.7660157331265509, 1.1907313875854015, 0.3832672027056105, 1.1602868374902755, 0.3889913174789399, 1.577607068407815, 0.9367367047816515, -0.5036379462108016, 0.8963864184916019, 0.5302389161661267, 1.231724547687918, 0.9976560538634658, -0.0840373598621227, 1.2009736422332935, 0.8688881457783282, 0.8476057158259209, 0.6382189583964646, 1.1525693104485981, 1.0226039211265743, 2.0444407834729645, 0.2815557206049562, -0.1381743378005922, -0.662122331559658, -1.9215666691234219, 8.258909980810131]|119.7101440429687500|      3.33333333|[2761, 184, 0, 46]                                                         | 
