k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
      41|[1.0540376192024783, 0.972190923128755]                                         |  0.0038084629923105|      0.00781250|[265, 100, 0, 100]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[1.0462926705409807, 0.9711657760755147]                                        |  0.0027790847234428|      0.01562500|[271, 102, 0, 102]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      43|[1.0462926705409807, 0.9711657760755147]                                        |  0.0027790847234428|      0.00781250|[279, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      44|[1.0421523951032925, 0.9777909761140098]                                        |  0.0022658221423626|      0.01562500|[286, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      45|[1.0421523951032925, 0.9777909761140098]                                        |  0.0022658221423626|      0.00781250|[294, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      46|[1.0345745093037628, 0.9796911874336497]                                        |  0.0015095213893801|      0.01562500|[300, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      47|[1.0345745093037628, 0.9796911874336497]                                        |  0.0015095213893801|      0.00781250|[307, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      48|[1.0345745093037628, 0.9796911874336497]                                        |  0.0015095213893801|      0.00390625|[313, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      49|[1.0320252484563317, 0.9826509269820313]                                        |  0.0012873777886853|      0.00781250|[318, 120, 0, 120]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[1.0320252484563317, 0.9826509269820313]                                        |  0.0012873777886853|      0.00390625|[324, 122, 0, 122]                                                         |  | trying quadratic partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      51|[1.0281242045921792, 0.9828525350980826]                                        |  0.0010166174033657|      0.00781250|[329, 124, 0, 124]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      52|[1.0281242045921792, 0.9828525350980826]                                        |  0.0010166174033657|      0.00390625|[337, 127, 0, 127]                                                         |  | trying quadratic partial model with 4 points | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      53|[1.0249054259095394, 0.9850657347851155]                                        |  0.0007899663178250|      0.00781250|[343, 129, 0, 129]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
