k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      42|[-1.2848934159976904, 4.507664947270937, 2.7572462086776612, 7.197421765542648, 1.8393255350907567, 6.877851179790396]|  3.0502400398254395|      0.04000000|[560, 84, 0, 84]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      43|[-1.3088211014516853, 4.508140515395164, 2.744660320831514, 7.178884254893564, 1.8332148433030628, 6.855763733679336]|  3.0330624580383301|      0.20000000|[573, 86, 0, 86]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      44|[-1.3088211014516853, 4.508140515395164, 2.744660320831514, 7.178884254893564, 1.8332148433030628, 6.855763733679336]|  3.0330624580383301|      0.04000000|[586, 88, 0, 88]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      45|[-1.2884812568239148, 4.525558389530674, 2.7393269576988484, 7.163248949015399, 1.8142646890619303, 6.839924147726846]|  2.9712793827056885|      0.20000000|[599, 90, 0, 90]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      46|[-1.2884812568239148, 4.525558389530674, 2.7393269576988484, 7.163248949015399, 1.8142646890619303, 6.839924147726846]|  2.9712793827056885|      0.04000000|[612, 92, 0, 92]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      47|[-1.2667016883222066, 4.547585830950335, 2.7314723419557754, 7.144938245970607, 1.8045433945308404, 6.827719156184173]|  2.9076945781707764|      0.20000000|[625, 94, 0, 94]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      48|[-1.2667016883222066, 4.547585830950335, 2.7314723419557754, 7.144938245970607, 1.8045433945308404, 6.827719156184173]|  2.9076945781707764|      0.04000000|[638, 96, 0, 96]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      49|[-1.2480138797764475, 4.561597858708128, 2.7164090234240557, 7.122507085311147, 1.7887447747522316, 6.819072077530414]|  2.8488302230834961|      0.20000000|[651, 98, 0, 98]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      50|[-1.2480138797764475, 4.561597858708128, 2.7164090234240557, 7.122507085311147, 1.7887447747522316, 6.819072077530414]|  2.8488302230834961|      0.04000000|[665, 100, 0, 100]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      51|[-1.2306642675957147, 4.578007884024107, 2.694244724482964, 7.1100055868903445, 1.772998091597645, 6.8074875885205035]|  2.7938220500946045|      0.20000000|[678, 102, 0, 102]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      52|[-1.2306642675957147, 4.578007884024107, 2.694244724482964, 7.1100055868903445, 1.772998091597645, 6.8074875885205035]|  2.7938220500946045|      0.04000000|[691, 104, 0, 104]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      53|[-1.2202030932073222, 4.604152571401518, 2.6912997323169177, 7.0887981160296425, 1.7648398100819889, 6.790693786214331]|  2.7366242408752441|      0.20000000|[705, 106, 0, 106]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      54|[-1.2202030932073222, 4.604152571401518, 2.6912997323169177, 7.0887981160296425, 1.7648398100819889, 6.790693786214331]|  2.7366242408752441|      0.04000000|[719, 108, 0, 108]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      55|[-1.224701508005062, 4.625109651870013, 2.6928216753810115, 7.0584065136088, 1.7632623191337953, 6.776129763540085]|  2.6925482749938965|      0.20000000|[732, 110, 0, 110]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      56|[-1.224701508005062, 4.625109651870013, 2.6928216753810115, 7.0584065136088, 1.7632623191337953, 6.776129763540085]|  2.6925482749938965|      0.04000000|[746, 112, 0, 112]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
