k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]                                   |902930.4512200000463054|      1.00000000|[0, 0, 0, 0]                                                               | 
      36|[-0.0092663062879768, 0.0065411179069104, -0.0088413792777445, -0.0001641508196427, 0.2481890222780085, 0.0117305198259353, -0.0014498761583859, -0.0096941195630952, 0.0006556272480068]|291418.1875000000000000|      0.01000000|[958, 144, 0, 72]                                                          |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      37|[-0.0091789905112048, 0.0055233280011358, -0.0080042705834048, 0.0001699038704015, 0.2579352015793416, 0.0131878247041336, -0.0011447592576599, -0.0104078316675086, -4.52219827e-08]|276819.6250000000000000|      0.10000000|[984, 148, 0, 74]                                                          |  | trying linear partial model with 15 points | iterate success | actual_k=2
      38|[-0.0091789905112048, 0.0055233280011358, -0.0080042705834048, 0.0001699038704015, 0.2579352015793416, 0.0131878247041336, -0.0011447592576599, -0.0104078316675086, -4.52219827e-08]|276819.6250000000000000|      0.01000000|[1010, 152, 0, 76]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      39|[-0.0110945075162479, 0.0067452306619557, -0.0077409251466703, -0.0007324684512403, 0.2673329075456339, 0.0113261977845105, -0.0003716951325345, -0.0112603537712544, 0.0009203718406986]|263075.7187500000000000|      0.10000000|[1036, 156, 0, 78]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      40|[-0.0110945075162479, 0.0067452306619557, -0.0077409251466703, -0.0007324684512403, 0.2673329075456339, 0.0113261977845105, -0.0003716951325345, -0.0112603537712544, 0.0009203718406986]|263075.7187500000000000|      0.01000000|[1062, 160, 0, 80]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      41|[-0.0123224740992766, 0.0067469520588584, -0.0073009840443087, -0.0021783610922298, 0.2767067612322537, 0.0087754946182108, -0.0016293376696693, -0.010874963239214, 0.0012405767919714]|249929.1875000000000000|      0.10000000|[1088, 164, 0, 82]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      42|[-0.0123224740992766, 0.0067469520588584, -0.0073009840443087, -0.0021783610922298, 0.2767067612322537, 0.0087754946182108, -0.0016293376696693, -0.010874963239214, 0.0012405767919714]|249929.1875000000000000|      0.01000000|[1114, 168, 0, 84]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      43|[-0.0121010948124337, 0.0073485904845064, -0.0073620306362336, -0.0029544638287199, 0.2866108075789195, 0.0080304331217684, -0.0016747069811566, -0.0111508322829879, 0.00175003483543]|236640.0156250000000000|      0.10000000|[1140, 172, 0, 86]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
      44|[-0.0121010948124337, 0.0073485904845064, -0.0073620306362336, -0.0029544638287199, 0.2866108075789195, 0.0080304331217684, -0.0016747069811566, -0.0111508322829879, 0.00175003483543]|236640.0156250000000000|      0.01000000|[1168, 176, 0, 88]                                                         |  | trying linear partial model with 15 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      45|[-0.0128595881508361, 0.0056447618045669, -0.0077582549684731, -0.0038727541333039, 0.2962060307389421, 0.0075795022029959, -0.0022869693553248, -0.0119116935314441, 0.0002347844793177]|224283.9218750000000000|      0.10000000|[1195, 180, 0, 90]                                                         |  | trying linear partial model with 15 points | iterate success | actual_k=2
