k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]| 15.0000174966258228|      1.00000000|[0, 0, 0, 0]                                                               | 
      22|[1.2053458695723631, -0.0708144613977588, 0.2959939544972552, 1.8012926968022693, -0.1059037721238541, -0.0466902036237363, 0.1799629859688135, 0.0956300167148966, -0.0267390776326802, 0.0399463329604203, -0.1112003894161521, 0.039675801987978, 0.0108555090086504, -0.1978956032150722, -0.0642479359350683, -0.0509716571740002, 0.0277647052838173, -0.0178970523366421, -0.0399689275784454, 0.0411351594969826, -0.1081622097694903, -0.087505781366223]| 12.1829185485839844|      0.06250000|[2124, 148, 0, 74]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      23|[1.2372708809513744, -0.069508854271439, 0.3013830692504469, 1.8487049136293703, -0.1016660009677793, -0.0503864980706869, 0.1794772731150543, 0.0964854657168139, -0.0250246496369724, 0.0433869779711633, -0.1222399305272234, 0.0467829791417469, 0.0139252647217421, -0.1966259928155397, -0.0571421658309324, -0.0447904021430269, 0.0217527686325276, -0.0126476774134322, -0.0295418926066293, 0.0454239878754155, -0.1156878237358879, -0.0939433233958929]| 12.1689968109130859|      0.12500000|[2182, 152, 0, 76]                                                         |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
      24|[1.2372708809513744, -0.069508854271439, 0.3013830692504469, 1.8487049136293703, -0.1016660009677793, -0.0503864980706869, 0.1794772731150543, 0.0964854657168139, -0.0250246496369724, 0.0433869779711633, -0.1222399305272234, 0.0467829791417469, 0.0139252647217421, -0.1966259928155397, -0.0571421658309324, -0.0447904021430269, 0.0217527686325276, -0.0126476774134322, -0.0295418926066293, 0.0454239878754155, -0.1156878237358879, -0.0939433233958929]| 12.1689968109130859|      0.06250000|[2269, 158, 0, 79]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      25|[1.2372708809513744, -0.069508854271439, 0.3013830692504469, 1.8487049136293703, -0.1016660009677793, -0.0503864980706869, 0.1794772731150543, 0.0964854657168139, -0.0250246496369724, 0.0433869779711633, -0.1222399305272234, 0.0467829791417469, 0.0139252647217421, -0.1966259928155397, -0.0571421658309324, -0.0447904021430269, 0.0217527686325276, -0.0126476774134322, -0.0295418926066293, 0.0454239878754155, -0.1156878237358879, -0.0939433233958929]| 12.1689968109130859|      0.03125000|[2358, 164, 0, 82]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 61 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      26|[1.2539468088339665, -0.0658235082338413, 0.3086159772473187, 1.8688180720275331, -0.103716829736653, -0.0475420228499175, 0.1821233459524657, 0.1006128131834178, -0.0225775512108527, 0.0433790356505871, -0.1263446922741172, 0.0474503254275861, 0.0228914620147354, -0.196950404148518, -0.0540117394410948, -0.0425926825546731, 0.0260310239704594, -0.0128409345771129, -0.0255182900245583, 0.0487685676279487, -0.1123721617857775, -0.0980159324586163]| 12.1635007858276367|      0.06250000|[2416, 168, 0, 84]                                                         |  | trying quadratic partial model with 31 points | iterate success | actual_k=2
      27|[1.292102258730634, -0.062670028801649, 0.317744670426089, 1.9173290798501443, -0.1038040556493823, -0.0480491330782958, 0.1821276850839785, 0.1009247300038344, -0.0224982582449603, 0.04404446383039, -0.1259663998479345, 0.047062920599517, 0.0229083786573731, -0.1975171894960464, -0.054823527065464, -0.0421731951463572, 0.0266229132267202, -0.0128958407454187, -0.0252625036252254, 0.0491436748558775, -0.1118069117174253, -0.0971934643467365]| 12.1534214019775391|      0.12500000|[2530, 176, 0, 88]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | iterate success | actual_k=2
      28|[1.292102258730634, -0.062670028801649, 0.317744670426089, 1.9173290798501443, -0.1038040556493823, -0.0480491330782958, 0.1821276850839785, 0.1009247300038344, -0.0224982582449603, 0.04404446383039, -0.1259663998479345, 0.047062920599517, 0.0229083786573731, -0.1975171894960464, -0.054823527065464, -0.0421731951463572, 0.0266229132267202, -0.0128958407454187, -0.0252625036252254, 0.0491436748558775, -0.1118069117174253, -0.0971934643467365]| 12.1534214019775391|      0.06250000|[2644, 184, 0, 92]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      29|[1.292102258730634, -0.062670028801649, 0.317744670426089, 1.9173290798501443, -0.1038040556493823, -0.0480491330782958, 0.1821276850839785, 0.1009247300038344, -0.0224982582449603, 0.04404446383039, -0.1259663998479345, 0.047062920599517, 0.0229083786573731, -0.1975171894960464, -0.054823527065464, -0.0421731951463572, 0.0266229132267202, -0.0128958407454187, -0.0252625036252254, 0.0491436748558775, -0.1118069117174253, -0.0971934643467365]| 12.1534214019775391|      0.03125000|[2731, 190, 0, 95]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      30|[1.310652509717257, -0.0613284084679593, 0.3217399928112463, 1.9420882612526191, -0.1038400441046139, -0.0479189435592155, 0.1822049142330742, 0.1009361307242301, -0.0225245228297699, 0.043802349624548, -0.1261928905919722, 0.0478555640272829, 0.0228063472365845, -0.1974041860691448, -0.0550357597897505, -0.0417189460333626, 0.0261910662455055, -0.012435375949888, -0.0255750640906674, 0.0488039914038771, -0.1117424242829381, -0.097325852489584]| 12.1497611999511719|      0.06250000|[2818, 196, 0, 98]                                                         |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 60 points | iterate success | actual_k=2
      31|[1.310652509717257, -0.0613284084679593, 0.3217399928112463, 1.9420882612526191, -0.1038400441046139, -0.0479189435592155, 0.1822049142330742, 0.1009361307242301, -0.0225245228297699, 0.043802349624548, -0.1261928905919722, 0.0478555640272829, 0.0228063472365845, -0.1974041860691448, -0.0550357597897505, -0.0417189460333626, 0.0261910662455055, -0.012435375949888, -0.0255750640906674, 0.0488039914038771, -0.1117424242829381, -0.097325852489584]| 12.1497611999511719|      0.03125000|[2932, 204, 0, 102]                                                        |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      32|[1.3293141704152707, -0.0598942396910542, 0.3257053868295258, 1.966785780688237, -0.1036819436687739, -0.0478415907571489, 0.1822601404315734, 0.1010925456602476, -0.0225844952504291, 0.0438540227519725, -0.125971112720915, 0.0482786652745643, 0.0230162704779196, -0.197611118601163, -0.0548769345951626, -0.0416646496191977, 0.0264159334191329, -0.012242875051101, -0.0256587138819995, 0.0489977304229964, -0.1118505413137954, -0.0972595452926747]| 12.1470184326171875|      0.06250000|[3046, 212, 0, 106]                                                        |  | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 59 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 87 points | iterate success | actual_k=2
