k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      24|[0.5034505746695965, 0.5882374402378587, 0.5423961732314906, 0.6676491250458592, 0.4731067970440101, 0.5267878884330972, 0.4714773136545576, 0.6077794116142206, 0.4699729097138786, 0.4009458339291589, 1.153991870247927, -0.3883558594136513, 0.8390679845604594, 0.7935575446383877, 0.9339963816375414, 0.9349090415864272, 0.9462983424012751, 0.8079692215677552, 0.9903945747701912, 0.9089928959604139, 0.9015657753352038, 0.9794926830748816]|  0.9566307067871094|      0.28242954|[1400, 96, 0, 48]                                                          |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      25|[0.5034505746695965, 0.5882374402378587, 0.5423961732314906, 0.6676491250458592, 0.4731067970440101, 0.5267878884330972, 0.4714773136545576, 0.6077794116142206, 0.4699729097138786, 0.4009458339291589, 1.153991870247927, -0.3883558594136513, 0.8390679845604594, 0.7935575446383877, 0.9339963816375414, 0.9349090415864272, 0.9462983424012751, 0.8079692215677552, 0.9903945747701912, 0.9089928959604139, 0.9015657753352038, 0.9794926830748816]|  0.9566307067871094|      0.25418658|[1458, 100, 0, 50]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      26|[0.4285576297971739, 0.586848322270824, 0.5059069142538811, 0.5984475967470522, 0.4084498755909974, 0.4607726446017445, 0.4333494632591948, 0.5368960703571805, 0.4081735535088588, 0.35467394930682, 1.1298075552565225, -0.5515533666944057, 0.8498767992551801, 0.7887475652852164, 0.902177699452219, 0.9730417698991994, 0.935647817064272, 0.8001960708538957, 0.9633302522038144, 0.8871510401607559, 0.9213609911079064, 0.9620972204644967]|  0.9053928256034851|      0.28242954|[1516, 104, 0, 52]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      27|[0.3627802087929034, 0.5159351532634502, 0.4657756426734576, 0.5495165702971107, 0.3483586335885253, 0.4111964073897232, 0.377300237512551, 0.4574449879801626, 0.3612193040003075, 0.3044519884130437, 1.1231915743430427, -0.731319151330378, 0.8178601030403648, 0.8415013048149429, 0.900259674794261, 0.9060798240151897, 0.9206820806997308, 0.7534560350703339, 0.9123063366824999, 0.874483608846408, 0.9375373430403675, 0.9538913325975497]|  0.8513249754905701|      0.31381060|[1574, 108, 0, 54]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      28|[0.3627802087929034, 0.5159351532634502, 0.4657756426734576, 0.5495165702971107, 0.3483586335885253, 0.4111964073897232, 0.377300237512551, 0.4574449879801626, 0.3612193040003075, 0.3044519884130437, 1.1231915743430427, -0.731319151330378, 0.8178601030403648, 0.8415013048149429, 0.900259674794261, 0.9060798240151897, 0.9206820806997308, 0.7534560350703339, 0.9123063366824999, 0.874483608846408, 0.9375373430403675, 0.9538913325975497]|  0.8513249754905701|      0.28242954|[1632, 112, 0, 56]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      29|[0.2843995548074491, 0.4556625764586126, 0.3914648065919034, 0.4632482517963422, 0.3095468002771373, 0.3257498621833989, 0.3326451017101103, 0.3716254965074666, 0.3061418768983398, 0.2375587033826052, 1.127788480198289, -0.8947234324495728, 0.848775244865925, 0.8157374804596917, 0.9069666304923201, 0.9016142691425357, 0.9210800400186688, 0.7165716413296555, 0.8882348322909626, 0.8814554196622204, 0.9227314664389022, 0.9810322271062132]|  0.7989148497581482|      0.31381060|[1692, 116, 0, 58]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      30|[0.2843995548074491, 0.4556625764586126, 0.3914648065919034, 0.4632482517963422, 0.3095468002771373, 0.3257498621833989, 0.3326451017101103, 0.3716254965074666, 0.3061418768983398, 0.2375587033826052, 1.127788480198289, -0.8947234324495728, 0.848775244865925, 0.8157374804596917, 0.9069666304923201, 0.9016142691425357, 0.9210800400186688, 0.7165716413296555, 0.8882348322909626, 0.8814554196622204, 0.9227314664389022, 0.9810322271062132]|  0.7989148497581482|      0.28242954|[1750, 120, 0, 60]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      31|[0.2843995548074491, 0.4556625764586126, 0.3914648065919034, 0.4632482517963422, 0.3095468002771373, 0.3257498621833989, 0.3326451017101103, 0.3716254965074666, 0.3061418768983398, 0.2375587033826052, 1.127788480198289, -0.8947234324495728, 0.848775244865925, 0.8157374804596917, 0.9069666304923201, 0.9016142691425357, 0.9210800400186688, 0.7165716413296555, 0.8882348322909626, 0.8814554196622204, 0.9227314664389022, 0.9810322271062132]|  0.7989148497581482|      0.25418658|[1808, 124, 0, 62]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      32|[0.2843995548074491, 0.4556625764586126, 0.3914648065919034, 0.4632482517963422, 0.3095468002771373, 0.3257498621833989, 0.3326451017101103, 0.3716254965074666, 0.3061418768983398, 0.2375587033826052, 1.127788480198289, -0.8947234324495728, 0.848775244865925, 0.8157374804596917, 0.9069666304923201, 0.9016142691425357, 0.9210800400186688, 0.7165716413296555, 0.8882348322909626, 0.8814554196622204, 0.9227314664389022, 0.9810322271062132]|  0.7989148497581482|      0.22876792|[1866, 128, 0, 64]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      33|[0.2451933595686087, 0.4154373472172447, 0.3623210343408264, 0.4086860579920847, 0.2600655165917927, 0.2847821156140737, 0.2621487019987895, 0.3198006539173258, 0.234720620585187, 0.2068372475880186, 1.1101038066352136, -1.0446238059647581, 0.8895991141236944, 0.833588219102504, 0.9433064539116609, 0.8930424454012696, 0.941631022080686, 0.725601780992858, 0.881528834230366, 0.8882357336656589, 0.9381332377047539, 1.0040941500562264]|  0.7624564766883850|      0.25418658|[1924, 132, 0, 66]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      34|[0.2451933595686087, 0.4154373472172447, 0.3623210343408264, 0.4086860579920847, 0.2600655165917927, 0.2847821156140737, 0.2621487019987895, 0.3198006539173258, 0.234720620585187, 0.2068372475880186, 1.1101038066352136, -1.0446238059647581, 0.8895991141236944, 0.833588219102504, 0.9433064539116609, 0.8930424454012696, 0.941631022080686, 0.725601780992858, 0.881528834230366, 0.8882357336656589, 0.9381332377047539, 1.0040941500562264]|  0.7624564766883850|      0.22876792|[1982, 136, 0, 68]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      35|[0.2451933595686087, 0.4154373472172447, 0.3623210343408264, 0.4086860579920847, 0.2600655165917927, 0.2847821156140737, 0.2621487019987895, 0.3198006539173258, 0.234720620585187, 0.2068372475880186, 1.1101038066352136, -1.0446238059647581, 0.8895991141236944, 0.833588219102504, 0.9433064539116609, 0.8930424454012696, 0.941631022080686, 0.725601780992858, 0.881528834230366, 0.8882357336656589, 0.9381332377047539, 1.0040941500562264]|  0.7624564766883850|      0.20589113|[2040, 140, 0, 70]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      36|[0.2451933595686087, 0.4154373472172447, 0.3623210343408264, 0.4086860579920847, 0.2600655165917927, 0.2847821156140737, 0.2621487019987895, 0.3198006539173258, 0.234720620585187, 0.2068372475880186, 1.1101038066352136, -1.0446238059647581, 0.8895991141236944, 0.833588219102504, 0.9433064539116609, 0.8930424454012696, 0.941631022080686, 0.725601780992858, 0.881528834230366, 0.8882357336656589, 0.9381332377047539, 1.0040941500562264]|  0.7624564766883850|      0.18530202|[2098, 144, 0, 72]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      37|[0.2023170733812074, 0.3861643707601815, 0.2981426992068023, 0.377064324946193, 0.2755080303061684, 0.2487391324523653, 0.1955941096884797, 0.2605133342485942, 0.1773155526271785, 0.1829622948869997, 1.1124287993853785, -1.1248335077926561, 0.9063492872443772, 0.8081555107685536, 0.9350587952979008, 0.8775233674113729, 0.9358536390013573, 0.6807193235214255, 0.8276945949476285, 0.8871033749090899, 0.948292811399248, 0.9828893571765064]|  0.7353603243827820|      0.20589113|[2156, 148, 0, 74]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      38|[0.152368302535756, 0.3245775220613765, 0.2494298322151264, 0.307365515713132, 0.2426891645388877, 0.2197284926057646, 0.1926167691682927, 0.2078129068417434, 0.1287495283377177, 0.1444979832197671, 1.0663892565557447, -1.2413406315738211, 0.8686837050556752, 0.8081367834454279, 0.9121859445109575, 0.8741498731385434, 0.9028480260959124, 0.655355104296615, 0.8156942916295516, 0.9060037231005312, 0.9585922662266501, 1.001398747795096]|  0.7042183279991150|      0.22876792|[2214, 152, 0, 76]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      39|[0.152368302535756, 0.3245775220613765, 0.2494298322151264, 0.307365515713132, 0.2426891645388877, 0.2197284926057646, 0.1926167691682927, 0.2078129068417434, 0.1287495283377177, 0.1444979832197671, 1.0663892565557447, -1.2413406315738211, 0.8686837050556752, 0.8081367834454279, 0.9121859445109575, 0.8741498731385434, 0.9028480260959124, 0.655355104296615, 0.8156942916295516, 0.9060037231005312, 0.9585922662266501, 1.001398747795096]|  0.7042183279991150|      0.20589113|[2272, 156, 0, 78]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      40|[0.152368302535756, 0.3245775220613765, 0.2494298322151264, 0.307365515713132, 0.2426891645388877, 0.2197284926057646, 0.1926167691682927, 0.2078129068417434, 0.1287495283377177, 0.1444979832197671, 1.0663892565557447, -1.2413406315738211, 0.8686837050556752, 0.8081367834454279, 0.9121859445109575, 0.8741498731385434, 0.9028480260959124, 0.655355104296615, 0.8156942916295516, 0.9060037231005312, 0.9585922662266501, 1.001398747795096]|  0.7042183279991150|      0.18530202|[2330, 160, 0, 80]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      41|[0.1098411700728448, 0.2665745989441853, 0.2206068068775591, 0.2686131884195911, 0.1831256348351724, 0.1576301717120325, 0.1578458001449863, 0.1883216138309384, 0.080637903337019, 0.1234652255593373, 1.0699991784040828, -1.3496122179172927, 0.8526564357789037, 0.788208007928885, 0.8993659180477329, 0.8935453684812708, 0.9261113903475285, 0.634909621525225, 0.7871699439677597, 0.9063349925180544, 0.9715460033149302, 1.0159003246240235]|  0.6780118346214294|      0.20589113|[2389, 164, 0, 82]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      42|[0.0626143728639569, 0.2123010589022455, 0.1667590613765626, 0.2019181734002587, 0.142819223117968, 0.1204824103900966, 0.1174942280492841, 0.1261142393026681, 0.0371275786241919, 0.086046994816546, 1.0525808290880987, -1.4694525905966742, 0.852997972341538, 0.7816496480252075, 0.8964996891821849, 0.8879324586173108, 0.8981227368908881, 0.5965669299741669, 0.7675351287323676, 0.9135497979282294, 0.9773312108146647, 0.9914261226410871]|  0.6485096216201782|      0.22876792|[2447, 168, 0, 84]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      43|[0.0626143728639569, 0.2123010589022455, 0.1667590613765626, 0.2019181734002587, 0.142819223117968, 0.1204824103900966, 0.1174942280492841, 0.1261142393026681, 0.0371275786241919, 0.086046994816546, 1.0525808290880987, -1.4694525905966742, 0.852997972341538, 0.7816496480252075, 0.8964996891821849, 0.8879324586173108, 0.8981227368908881, 0.5965669299741669, 0.7675351287323676, 0.9135497979282294, 0.9773312108146647, 0.9914261226410871]|  0.6485096216201782|      0.20589113|[2505, 172, 0, 86]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      44|[0.0626143728639569, 0.2123010589022455, 0.1667590613765626, 0.2019181734002587, 0.142819223117968, 0.1204824103900966, 0.1174942280492841, 0.1261142393026681, 0.0371275786241919, 0.086046994816546, 1.0525808290880987, -1.4694525905966742, 0.852997972341538, 0.7816496480252075, 0.8964996891821849, 0.8879324586173108, 0.8981227368908881, 0.5965669299741669, 0.7675351287323676, 0.9135497979282294, 0.9773312108146647, 0.9914261226410871]|  0.6485096216201782|      0.18530202|[2563, 176, 0, 88]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      45|[0.0626143728639569, 0.2123010589022455, 0.1667590613765626, 0.2019181734002587, 0.142819223117968, 0.1204824103900966, 0.1174942280492841, 0.1261142393026681, 0.0371275786241919, 0.086046994816546, 1.0525808290880987, -1.4694525905966742, 0.852997972341538, 0.7816496480252075, 0.8964996891821849, 0.8879324586173108, 0.8981227368908881, 0.5965669299741669, 0.7675351287323676, 0.9135497979282294, 0.9773312108146647, 0.9914261226410871]|  0.6485096216201782|      0.16677182|[2621, 180, 0, 90]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      46|[0.0027857984313439, 0.1849611396645782, 0.141462191572249, 0.1781068352882945, 0.0698183326462769, 0.1025711588365007, 0.0983327108484044, 0.1366830024737914, 0.0317156227511042, 0.0432800567423561, 1.0350103635424217, -1.5630406887015271, 0.8942997346047281, 0.7613304418196342, 0.8783667270501342, 0.8710585258601005, 0.8859778458582859, 0.5717787338321246, 0.7394644332582954, 0.9066649056621057, 0.9552312685272334, 0.9712649440168457]|  0.6297765970230103|      0.18530202|[2679, 184, 0, 92]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      47|[0.0027857984313439, 0.1849611396645782, 0.141462191572249, 0.1781068352882945, 0.0698183326462769, 0.1025711588365007, 0.0983327108484044, 0.1366830024737914, 0.0317156227511042, 0.0432800567423561, 1.0350103635424217, -1.5630406887015271, 0.8942997346047281, 0.7613304418196342, 0.8783667270501342, 0.8710585258601005, 0.8859778458582859, 0.5717787338321246, 0.7394644332582954, 0.9066649056621057, 0.9552312685272334, 0.9712649440168457]|  0.6297765970230103|      0.16677182|[2737, 188, 0, 94]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      48|[-0.0404363949219124, 0.146244389638905, 0.1317482536049653, 0.1382958974008087, 0.062687708245298, 0.0305012737672085, 0.0599630005853175, 0.1051898768984234, -0.0144217897639633, -0.0232233604798235, 1.0225103715467962, -1.6408394372204391, 0.8817343367063368, 0.7383725332570055, 0.8540459368062617, 0.8647655181012913, 0.8636046778847786, 0.5650207324290395, 0.7393411688998867, 0.912504836921646, 0.9732739745305151, 0.9625902311068374]|  0.6106383204460144|      0.18530202|[2795, 192, 0, 96]                                                         |  | trying linear partial model with 31 points | iterate success | actual_k=2
      49|[-0.0404363949219124, 0.146244389638905, 0.1317482536049653, 0.1382958974008087, 0.062687708245298, 0.0305012737672085, 0.0599630005853175, 0.1051898768984234, -0.0144217897639633, -0.0232233604798235, 1.0225103715467962, -1.6408394372204391, 0.8817343367063368, 0.7383725332570055, 0.8540459368062617, 0.8647655181012913, 0.8636046778847786, 0.5650207324290395, 0.7393411688998867, 0.912504836921646, 0.9732739745305151, 0.9625902311068374]|  0.6106383204460144|      0.16677182|[2853, 196, 0, 98]                                                         |  | trying linear partial model with 31 points | exploitation failed, decreasing delta | actual_k=2
      50|[-0.0797281861173375, 0.1379075381794889, 0.0862699791542152, 0.0807494463580174, 0.0301977199490169, -0.017160951508595, 0.0215080344620944, 0.0368876740829286, -0.0579541090620402, -0.0388507941728607, 0.9815743094082187, -1.7083641904319842, 0.8695066297504217, 0.7471445942817263, 0.8243615309174871, 0.8500228841961168, 0.8482035591371169, 0.534797272246887, 0.7368975484305996, 0.9229972110704209, 0.9537757850469107, 0.9639542235872202]|  0.5923565626144409|      0.18530202|[2911, 200, 0, 100]                                                        |  | trying linear partial model with 31 points | iterate success | actual_k=2
