k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      10|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.34867844|[1732, 120, 0, 30]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      11|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.31381060|[1904, 132, 0, 33]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      12|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.28242954|[2076, 144, 0, 36]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      13|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.25418658|[2248, 156, 0, 39]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      14|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.22876792|[2421, 168, 0, 42]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      15|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.20589113|[2593, 180, 0, 45]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      16|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.18530202|[2766, 192, 0, 48]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      17|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.16677182|[2938, 204, 0, 51]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      18|[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]|  1.5280136783814451|      0.15009464|[3111, 216, 0, 54]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      19|[0.9665571073453537, 0.9667529669910481, 0.9661703413052096, 0.9663226876084411, 0.9663924619755394, 0.9660725251617026, 0.9662880744205713, 0.9662600901144719, 0.9660865153370553, 0.9666125541867979, 1.0122616454120168, 0.8961482055758814, 0.9965993646740281, 0.9963542084204192, 0.9965068161743128, 0.9965358581040237, 0.9923555149929382, 0.9896055558291877, 0.9938005047545752, 0.9984071759076946, 0.9973022404982204, 0.9974691367070833]|  1.4805741310119629|      0.16677182|[3228, 224, 0, 56]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      20|[0.9665571073453537, 0.9667529669910481, 0.9661703413052096, 0.9663226876084411, 0.9663924619755394, 0.9660725251617026, 0.9662880744205713, 0.9662600901144719, 0.9660865153370553, 0.9666125541867979, 1.0122616454120168, 0.8961482055758814, 0.9965993646740281, 0.9963542084204192, 0.9965068161743128, 0.9965358581040237, 0.9923555149929382, 0.9896055558291877, 0.9938005047545752, 0.9984071759076946, 0.9973022404982204, 0.9974691367070833]|  1.4805741310119629|      0.15009464|[3401, 236, 0, 59]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      21|[0.9331621994541657, 0.9335224361021539, 0.9322630747757771, 0.9326314565846806, 0.932692770756622, 0.9322256449934506, 0.9325487424446174, 0.9325407317948573, 0.932109988269791, 0.9331169832055557, 1.023946878136448, 0.7923495480790558, 0.9929933400657672, 0.9926076758664357, 0.9927487971095705, 0.9929775985212761, 0.9846271518082094, 0.9790769345597575, 0.987514381126398, 0.996788894148537, 0.99451786884637, 0.9949916899906222]|  1.4338735342025757|      0.16677182|[3518, 244, 0, 61]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      22|[0.9331621994541657, 0.9335224361021539, 0.9322630747757771, 0.9326314565846806, 0.932692770756622, 0.9322256449934506, 0.9325487424446174, 0.9325407317948573, 0.932109988269791, 0.9331169832055557, 1.023946878136448, 0.7923495480790558, 0.9929933400657672, 0.9926076758664357, 0.9927487971095705, 0.9929775985212761, 0.9846271518082094, 0.9790769345597575, 0.987514381126398, 0.996788894148537, 0.99451786884637, 0.9949916899906222]|  1.4338735342025757|      0.15009464|[3691, 256, 0, 64]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      23|[0.8996361565031441, 0.9002166278498619, 0.8983711192865814, 0.8987742933054937, 0.8989489636222018, 0.8982525938033686, 0.8987584242694213, 0.8987666360114112, 0.8981971858913619, 0.8996310393551575, 1.0348227713475238, 0.688712263635018, 0.9893926977987135, 0.9889018299262831, 0.9889103061877341, 0.9893398181138622, 0.9766755261222272, 0.9682159166565608, 0.9811974636656028, 0.9950890390405642, 0.9916132512272999, 0.9922670759921067]|  1.3879467248916626|      0.16677182|[3808, 264, 0, 66]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      24|[0.8996361565031441, 0.9002166278498619, 0.8983711192865814, 0.8987742933054937, 0.8989489636222018, 0.8982525938033686, 0.8987584242694213, 0.8987666360114112, 0.8981971858913619, 0.8996310393551575, 1.0348227713475238, 0.688712263635018, 0.9893926977987135, 0.9889018299262831, 0.9889103061877341, 0.9893398181138622, 0.9766755261222272, 0.9682159166565608, 0.9811974636656028, 0.9950890390405642, 0.9916132512272999, 0.9922670759921067]|  1.3879467248916626|      0.15009464|[3981, 276, 0, 69]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      25|[0.8660067345993865, 0.8669587605621102, 0.8642627158187765, 0.8649167775537371, 0.8650615451475271, 0.8644454990666638, 0.8651053924500599, 0.8649397724421662, 0.8642420305785921, 0.8659835867707706, 1.0447643397289599, 0.5851693509646738, 0.9857167879953282, 0.9850235505585432, 0.9848998810606054, 0.9856553886965437, 0.9686994695072818, 0.957032267079997, 0.9746114516658024, 0.9932890908397776, 0.9888654144172666, 0.9895360236852377]|  1.3428359031677246|      0.16677182|[4097, 284, 0, 71]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      26|[0.8660067345993865, 0.8669587605621102, 0.8642627158187765, 0.8649167775537371, 0.8650615451475271, 0.8644454990666638, 0.8651053924500599, 0.8649397724421662, 0.8642420305785921, 0.8659835867707706, 1.0447643397289599, 0.5851693509646738, 0.9857167879953282, 0.9850235505585432, 0.9848998810606054, 0.9856553886965437, 0.9686994695072818, 0.957032267079997, 0.9746114516658024, 0.9932890908397776, 0.9888654144172666, 0.9895360236852377]|  1.3428359031677246|      0.15009464|[4270, 296, 0, 74]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      27|[0.8660067345993865, 0.8669587605621102, 0.8642627158187765, 0.8649167775537371, 0.8650615451475271, 0.8644454990666638, 0.8651053924500599, 0.8649397724421662, 0.8642420305785921, 0.8659835867707706, 1.0447643397289599, 0.5851693509646738, 0.9857167879953282, 0.9850235505585432, 0.9848998810606054, 0.9856553886965437, 0.9686994695072818, 0.957032267079997, 0.9746114516658024, 0.9932890908397776, 0.9888654144172666, 0.9895360236852377]|  1.3428359031677246|      0.13508517|[4442, 308, 0, 77]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      28|[0.835845538211344, 0.8367609423251504, 0.8335812764076583, 0.8344340210632527, 0.834411055966404, 0.8336390618017747, 0.8345659597089552, 0.834442484152418, 0.8337705714602943, 0.8359284943588388, 1.052990840405072, 0.4922297101289866, 0.982260233608836, 0.9813948261649692, 0.981220782119397, 0.9824570794921867, 0.9612540072109279, 0.9466523948356893, 0.9683828302899495, 0.9916440025574972, 0.9860700875848587, 0.9870917651229423]|  1.3029761314392090|      0.15009464|[4558, 316, 0, 79]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      29|[0.835845538211344, 0.8367609423251504, 0.8335812764076583, 0.8344340210632527, 0.834411055966404, 0.8336390618017747, 0.8345659597089552, 0.834442484152418, 0.8337705714602943, 0.8359284943588388, 1.052990840405072, 0.4922297101289866, 0.982260233608836, 0.9813948261649692, 0.981220782119397, 0.9824570794921867, 0.9612540072109279, 0.9466523948356893, 0.9683828302899495, 0.9916440025574972, 0.9860700875848587, 0.9870917651229423]|  1.3029761314392090|      0.13508517|[4730, 328, 0, 82]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      30|[0.8053998814277482, 0.8065768833760409, 0.8028416672604389, 0.8038125552937048, 0.8040257974791494, 0.8029757935273658, 0.8039055417508243, 0.8040360792579384, 0.8028405416991549, 0.8056061606467967, 1.0605231670035336, 0.3995745741900486, 0.9786658205298557, 0.9776863724470012, 0.9775262484375863, 0.9788610157104868, 0.9535309859180576, 0.9361250260104033, 0.9620439247853722, 0.9899017986925908, 0.9832425811970218, 0.9845377549396075]|  1.2638627290725708|      0.15009464|[4847, 336, 0, 84]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      31|[0.8053998814277482, 0.8065768833760409, 0.8028416672604389, 0.8038125552937048, 0.8040257974791494, 0.8029757935273658, 0.8039055417508243, 0.8040360792579384, 0.8028405416991549, 0.8056061606467967, 1.0605231670035336, 0.3995745741900486, 0.9786658205298557, 0.9776863724470012, 0.9775262484375863, 0.9788610157104868, 0.9535309859180576, 0.9361250260104033, 0.9620439247853722, 0.9899017986925908, 0.9832425811970218, 0.9845377549396075]|  1.2638627290725708|      0.13508517|[5019, 348, 0, 87]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      32|[0.7749404435422331, 0.7764417321003758, 0.772112095366708, 0.7729412053189743, 0.773461848335375, 0.7721077316302948, 0.7730908105273174, 0.773329503753282, 0.7720369034122815, 0.7752394446710663, 1.0673907966824854, 0.3072534037477672, 0.9750618989924966, 0.973980202293851, 0.9735486951336841, 0.9750953148360008, 0.945623337349997, 0.9254383513752488, 0.9557089644889508, 0.9878980760814633, 0.9803461395918294, 0.9817169925365931]|  1.2255458831787109|      0.15009464|[5135, 356, 0, 89]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      33|[0.7749404435422331, 0.7764417321003758, 0.772112095366708, 0.7729412053189743, 0.773461848335375, 0.7721077316302948, 0.7730908105273174, 0.773329503753282, 0.7720369034122815, 0.7752394446710663, 1.0673907966824854, 0.3072534037477672, 0.9750618989924966, 0.973980202293851, 0.9735486951336841, 0.9750953148360008, 0.945623337349997, 0.9254383513752488, 0.9557089644889508, 0.9878980760814633, 0.9803461395918294, 0.9817169925365931]|  1.2255458831787109|      0.13508517|[5307, 368, 0, 92]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      34|[0.7443743739247749, 0.7461347955544939, 0.7411178563018751, 0.7422004650080589, 0.7427343157044914, 0.7411320419705958, 0.7421394392941172, 0.7426852894759542, 0.7409713961654497, 0.7446604783460358, 1.0735681880492174, 0.2153814720915991, 0.9713256064176637, 0.970047813605688, 0.9696429036116085, 0.9712592884840667, 0.9375531980036844, 0.9144087173940784, 0.9491058965416556, 0.9860015642046371, 0.9773069231779452, 0.978981315376425]|  1.1880773305892944|      0.15009464|[5424, 376, 0, 94]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      35|[0.7443743739247749, 0.7461347955544939, 0.7411178563018751, 0.7422004650080589, 0.7427343157044914, 0.7411320419705958, 0.7421394392941172, 0.7426852894759542, 0.7409713961654497, 0.7446604783460358, 1.0735681880492174, 0.2153814720915991, 0.9713256064176637, 0.970047813605688, 0.9696429036116085, 0.9712592884840667, 0.9375531980036844, 0.9144087173940784, 0.9491058965416556, 0.9860015642046371, 0.9773069231779452, 0.978981315376425]|  1.1880773305892944|      0.13508517|[5596, 388, 0, 97]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      36|[0.7135935559415528, 0.7154972250473934, 0.7098658760610775, 0.7112029592386611, 0.7117561232457233, 0.7100355309464313, 0.711174433104264, 0.7116690859075916, 0.7098761077904603, 0.7139539651245613, 1.0789498710002687, 0.1242139412163905, 0.9675613033564479, 0.96597578283309, 0.9656420617875886, 0.9672141138250199, 0.929234392158235, 0.9031516171948318, 0.9423305848982464, 0.9840239064309809, 0.9742166319539528, 0.976122258097292]|  1.1515051126480103|      0.15009464|[5712, 396, 0, 99]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      37|[0.7135935559415528, 0.7154972250473934, 0.7098658760610775, 0.7112029592386611, 0.7117561232457233, 0.7100355309464313, 0.711174433104264, 0.7116690859075916, 0.7098761077904603, 0.7139539651245613, 1.0789498710002687, 0.1242139412163905, 0.9675613033564479, 0.96597578283309, 0.9656420617875886, 0.9672141138250199, 0.929234392158235, 0.9031516171948318, 0.9423305848982464, 0.9840239064309809, 0.9742166319539528, 0.976122258097292]|  1.1515051126480103|      0.13508517|[5884, 408, 0, 102]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      38|[0.7135935559415528, 0.7154972250473934, 0.7098658760610775, 0.7112029592386611, 0.7117561232457233, 0.7100355309464313, 0.711174433104264, 0.7116690859075916, 0.7098761077904603, 0.7139539651245613, 1.0789498710002687, 0.1242139412163905, 0.9675613033564479, 0.96597578283309, 0.9656420617875886, 0.9672141138250199, 0.929234392158235, 0.9031516171948318, 0.9423305848982464, 0.9840239064309809, 0.9742166319539528, 0.976122258097292]|  1.1515051126480103|      0.12157665|[6056, 420, 0, 105]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      39|[0.6859175266096951, 0.6879961680523552, 0.681591515762343, 0.6831542013480274, 0.6837309791180103, 0.6817769515700406, 0.6829399763948393, 0.6835433743622397, 0.6816623918755296, 0.6861377019137997, 1.0830258148602072, 0.0427680929615794, 0.9640040085647038, 0.9621267361558853, 0.9619918865861957, 0.9636079221206937, 0.9214082952049092, 0.8928316658393718, 0.9359737520870242, 0.9823088450112032, 0.9712203901715145, 0.9735589339748216]|  1.1193892955780029|      0.13508517|[6173, 428, 0, 107]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      40|[0.6859175266096951, 0.6879961680523552, 0.681591515762343, 0.6831542013480274, 0.6837309791180103, 0.6817769515700406, 0.6829399763948393, 0.6835433743622397, 0.6816623918755296, 0.6861377019137997, 1.0830258148602072, 0.0427680929615794, 0.9640040085647038, 0.9621267361558853, 0.9619918865861957, 0.9636079221206937, 0.9214082952049092, 0.8928316658393718, 0.9359737520870242, 0.9823088450112032, 0.9712203901715145, 0.9735589339748216]|  1.1193892955780029|      0.12157665|[6345, 440, 0, 110]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      41|[0.6579548339908007, 0.6601997855225102, 0.6531147016691092, 0.6550154965950593, 0.6556465572719133, 0.6533533761889269, 0.6545328022375152, 0.6553608799422791, 0.65323167886793, 0.6582498670157783, 1.0865381530594596, -0.0380383335653168, 0.9603780483309129, 0.9583484000894651, 0.9581186921616001, 0.9598412602710035, 0.9134618696686386, 0.8821064190694142, 0.9294412146160044, 0.9805223781710533, 0.9682395812839408, 0.9707007298300164]|  1.0880498886108398|      0.13508517|[6462, 448, 0, 112]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      42|[0.6579548339908007, 0.6601997855225102, 0.6531147016691092, 0.6550154965950593, 0.6556465572719133, 0.6533533761889269, 0.6545328022375152, 0.6553608799422791, 0.65323167886793, 0.6582498670157783, 1.0865381530594596, -0.0380383335653168, 0.9603780483309129, 0.9583484000894651, 0.9581186921616001, 0.9598412602710035, 0.9134618696686386, 0.8821064190694142, 0.9294412146160044, 0.9805223781710533, 0.9682395812839408, 0.9707007298300164]|  1.0880498886108398|      0.12157665|[6634, 460, 0, 115]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      43|[0.6296436466487272, 0.6322702176588703, 0.6245379514445737, 0.6266992895099384, 0.6273138255100073, 0.6248203445861217, 0.6259213736170188, 0.6271921807698023, 0.6246898794889234, 0.6298683307518907, 1.089497098724149, -0.1181057584073368, 0.9566101011260785, 0.9543581180932216, 0.9540778913709894, 0.9558273964875592, 0.9053751023064499, 0.8711095294226038, 0.922924025013488, 0.978572440305363, 0.9652072669731678, 0.9679002846684812]|  1.0574955940246582|      0.13508517|[6750, 468, 0, 117]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      44|[0.6296436466487272, 0.6322702176588703, 0.6245379514445737, 0.6266992895099384, 0.6273138255100073, 0.6248203445861217, 0.6259213736170188, 0.6271921807698023, 0.6246898794889234, 0.6298683307518907, 1.089497098724149, -0.1181057584073368, 0.9566101011260785, 0.9543581180932216, 0.9540778913709894, 0.9558273964875592, 0.9053751023064499, 0.8711095294226038, 0.922924025013488, 0.978572440305363, 0.9652072669731678, 0.9679002846684812]|  1.0574955940246582|      0.12157665|[6924, 480, 0, 120]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      45|[0.6012655625810095, 0.6042720764921585, 0.5958290106378318, 0.5981118351002157, 0.5988137344693811, 0.5960052550470735, 0.5973072042206302, 0.5986436763146475, 0.5959210227470523, 0.6014117919861395, 1.0917393336152568, -0.1974557011621438, 0.9527540694823541, 0.9504061705854779, 0.949890052956418, 0.9518179259320867, 0.8968728024700553, 0.8597964385174631, 0.9160960999543548, 0.976529742541252, 0.9618879521614808, 0.9649298373904334]|  1.0277246236801147|      0.13508517|[7040, 488, 0, 122]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      46|[0.6012655625810095, 0.6042720764921585, 0.5958290106378318, 0.5981118351002157, 0.5988137344693811, 0.5960052550470735, 0.5973072042206302, 0.5986436763146475, 0.5959210227470523, 0.6014117919861395, 1.0917393336152568, -0.1974557011621438, 0.9527540694823541, 0.9504061705854779, 0.949890052956418, 0.9518179259320867, 0.8968728024700553, 0.8597964385174631, 0.9160960999543548, 0.976529742541252, 0.9618879521614808, 0.9649298373904334]|  1.0277246236801147|      0.12157665|[7213, 500, 0, 125]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      47|[0.6012655625810095, 0.6042720764921585, 0.5958290106378318, 0.5981118351002157, 0.5988137344693811, 0.5960052550470735, 0.5973072042206302, 0.5986436763146475, 0.5959210227470523, 0.6014117919861395, 1.0917393336152568, -0.1974557011621438, 0.9527540694823541, 0.9504061705854779, 0.949890052956418, 0.9518179259320867, 0.8968728024700553, 0.8597964385174631, 0.9160960999543548, 0.976529742541252, 0.9618879521614808, 0.9649298373904334]|  1.0277246236801147|      0.10941899|[7386, 512, 0, 128]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      48|[0.5755723930547852, 0.5788202571339038, 0.5697557014584096, 0.5721957567682879, 0.5729870823561143, 0.5700193903011537, 0.5713319804972943, 0.5728130234999034, 0.570002622326517, 0.575699554023839, 1.0931782132985925, -0.2682299015006523, 0.9490887197517625, 0.9465985367850964, 0.9460927905199988, 0.9480772006003, 0.8890702841629263, 0.8493196091960742, 0.909894611140927, 0.9745762528330811, 0.9589923100599776, 0.9622249505429838]|  1.0015934705734253|      0.12157665|[7502, 520, 0, 130]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      49|[0.5755723930547852, 0.5788202571339038, 0.5697557014584096, 0.5721957567682879, 0.5729870823561143, 0.5700193903011537, 0.5713319804972943, 0.5728130234999034, 0.570002622326517, 0.575699554023839, 1.0931782132985925, -0.2682299015006523, 0.9490887197517625, 0.9465985367850964, 0.9460927905199988, 0.9480772006003, 0.8890702841629263, 0.8493196091960742, 0.909894611140927, 0.9745762528330811, 0.9589923100599776, 0.9622249505429838]|  1.0015934705734253|      0.10941899|[7676, 532, 0, 133]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      50|[0.5496913279613828, 0.5533013853770106, 0.5434876673229598, 0.5462587039714013, 0.5470319128282487, 0.5438525464633338, 0.5452555638898013, 0.5470970108610763, 0.5438822790870138, 0.5499326177613805, 1.0941944628409146, -0.3385763572414578, 0.9454396791347485, 0.9428864956532818, 0.9421099374347609, 0.9443265066732062, 0.8812578798275237, 0.8387472519154596, 0.9033786414285787, 0.9725017112085954, 0.9560050636252466, 0.9594533028538804]|  0.9760814905166626|      0.12157665|[7792, 540, 0, 135]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      51|[0.5496913279613828, 0.5533013853770106, 0.5434876673229598, 0.5462587039714013, 0.5470319128282487, 0.5438525464633338, 0.5452555638898013, 0.5470970108610763, 0.5438822790870138, 0.5499326177613805, 1.0941944628409146, -0.3385763572414578, 0.9454396791347485, 0.9428864956532818, 0.9421099374347609, 0.9443265066732062, 0.8812578798275237, 0.8387472519154596, 0.9033786414285787, 0.9725017112085954, 0.9560050636252466, 0.9594533028538804]|  0.9760814905166626|      0.10941899|[7964, 552, 0, 138]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
