k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      55|[0.1536996478322685, 0.0168071246088133, -8.106234261167883]                    |  1.0233124494552612|      0.03125000|[302, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.1536996478322685, 0.0168071246088133, -8.106234261167883]                    |  1.0233124494552612|      0.01562500|[307, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      57|[0.1536996478322685, 0.0168071246088133, -8.106234261167883]                    |  1.0233124494552612|      0.00781250|[313, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.1459012573550205, 0.0168752118814181, -8.105769905336997]                    |  1.0209780931472778|      0.01562500|[318, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.134006756809287, 0.0247877425062824, -8.112098676219098]                     |  1.0180033445358276|      0.03125000|[323, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      60|[0.134006756809287, 0.0247877425062824, -8.112098676219098]                     |  1.0180033445358276|      0.01562500|[329, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      61|[0.134006756809287, 0.0247877425062824, -8.112098676219098]                     |  1.0180033445358276|      0.00781250|[335, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.134006756809287, 0.0247877425062824, -8.112098676219098]                     |  1.0180033445358276|      0.00390625|[341, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
      63|[0.1303076910826834, 0.0256399529857259, -8.111177026008066]                    |  1.0170713663101196|      0.00781250|[346, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.1227325199648309, 0.027176523624791, -8.110040852845025]                     |  1.0152416229248047|      0.01562500|[352, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      65|[0.1075628628453183, 0.0234658054919783, -8.10953816127434]                     |  1.0115453004837036|      0.03125000|[358, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.1075628628453183, 0.0234658054919783, -8.10953816127434]                     |  1.0115453004837036|      0.01562500|[364, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | exploitation failed, decreasing delta | actual_k=1
