k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      29|[0.835749749968389, 0.8373117349460228, 0.8338080760534798, 0.8343205201778254, 0.8349108298361033, 0.8345819846032296, 0.8351839962662586, 0.8339417822482397, 0.8332884088672012, 0.8351594108785058, 1.0525785255327775, 0.4918705773354266, 0.9825730725999766, 0.9815833866309088, 0.9820022372864267, 0.9817965466528763, 0.9618166661236272, 0.9462682333419584, 0.9687163269545968, 0.9907456072014259, 0.9864847261461347, 0.9871293069433495]|  1.3029783964157104|      0.13508517|[4170, 1696, 0, 106]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 86 points | trying quadratic partial model with 122 points | exploitation failed, decreasing delta | actual_k=16
      30|[0.8056618247550703, 0.8069990774290183, 0.8031731667725907, 0.8038227779764637, 0.8042869898931516, 0.8036642496242448, 0.8045498204770144, 0.8034581388779578, 0.8026632688516758, 0.8048836626506579, 1.0601771459981186, 0.3990944850866798, 0.9789043559553843, 0.9776646963262275, 0.9784999922738052, 0.9781806285458793, 0.9542310876584252, 0.9360236971934884, 0.9623083486428745, 0.9889843291602788, 0.9837120945072844, 0.9847502028477859]|  1.2638658285140991|      0.15009464|[4255, 1728, 0, 108]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      31|[0.8056618247550703, 0.8069990774290183, 0.8031731667725907, 0.8038227779764637, 0.8042869898931516, 0.8036642496242448, 0.8045498204770144, 0.8034581388779578, 0.8026632688516758, 0.8048836626506579, 1.0601771459981186, 0.3990944850866798, 0.9789043559553843, 0.9776646963262275, 0.9784999922738052, 0.9781806285458793, 0.9542310876584252, 0.9360236971934884, 0.9623083486428745, 0.9889843291602788, 0.9837120945072844, 0.9847502028477859]|  1.2638658285140991|      0.13508517|[4406, 1792, 0, 112]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 83 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=16
      32|[0.7751634222715084, 0.7768445695438959, 0.7721582833750725, 0.773128067488331, 0.7736790731933163, 0.7726681049298119, 0.773710123883066, 0.7727759663425486, 0.771755705940014, 0.7744284614567614, 1.066798620913693, 0.3069288176076284, 0.9753548964702867, 0.9737474894597575, 0.974698062022314, 0.9744609532106192, 0.946442046761918, 0.925221462131016, 0.9559324936706151, 0.9871910196284007, 0.9807527523055526, 0.9821020035357213]|  1.2255491018295288|      0.15009464|[4490, 1824, 0, 114]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      33|[0.7751634222715084, 0.7768445695438959, 0.7721582833750725, 0.773128067488331, 0.7736790731933163, 0.7726681049298119, 0.773710123883066, 0.7727759663425486, 0.771755705940014, 0.7744284614567614, 1.066798620913693, 0.3069288176076284, 0.9753548964702867, 0.9737474894597575, 0.974698062022314, 0.9744609532106192, 0.946442046761918, 0.925221462131016, 0.9559324936706151, 0.9871910196284007, 0.9807527523055526, 0.9821020035357213]|  1.2255491018295288|      0.13508517|[4642, 1888, 0, 118]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 83 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=16
      34|[0.7448317655334298, 0.7461484640395242, 0.7411183469653326, 0.7421399336510364, 0.7430000742962692, 0.7418673709963252, 0.743005119975834, 0.742362942736863, 0.7405381568683834, 0.7433208798342805, 1.0728565927349245, 0.2151557966260505, 0.9716504191681963, 0.9697756376681751, 0.9704797248863343, 0.970597516186414, 0.9385930213868797, 0.9142166717018462, 0.9495913089172873, 0.9853270998422441, 0.9776475570316889, 0.9798876316928063]|  1.1880816221237183|      0.15009464|[4727, 1920, 0, 120]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      35|[0.7448317655334298, 0.7461484640395242, 0.7411183469653326, 0.7421399336510364, 0.7430000742962692, 0.7418673709963252, 0.743005119975834, 0.742362942736863, 0.7405381568683834, 0.7433208798342805, 1.0728565927349245, 0.2151557966260505, 0.9716504191681963, 0.9697756376681751, 0.9704797248863343, 0.970597516186414, 0.9385930213868797, 0.9142166717018462, 0.9495913089172873, 0.9853270998422441, 0.9776475570316889, 0.9798876316928063]|  1.1880816221237183|      0.13508517|[4882, 1984, 0, 124]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 84 points | trying quadratic partial model with 120 points | exploitation failed, decreasing delta | actual_k=16
      36|[0.7140168685777597, 0.7154430143775579, 0.7100534776339105, 0.7111090439516513, 0.711606543116362, 0.7107997179692598, 0.7117459560527871, 0.7117215740998564, 0.7095131419607146, 0.7126230902751328, 1.078051496059411, 0.1240478417935183, 0.9677167751789962, 0.965648371469604, 0.9662001675553287, 0.9671206443993123, 0.9301872330672977, 0.9029194492884082, 0.94310670287581, 0.9830468873013817, 0.9743584512059067, 0.9768740625400731]|  1.1515100002288818|      0.15009464|[4967, 2016, 0, 126]                                                       |  | trying quadratic partial model with 49 points | iterate success | actual_k=16
      37|[0.7140168685777597, 0.7154430143775579, 0.7100534776339105, 0.7111090439516513, 0.711606543116362, 0.7107997179692598, 0.7117459560527871, 0.7117215740998564, 0.7095131419607146, 0.7126230902751328, 1.078051496059411, 0.1240478417935183, 0.9677167751789962, 0.965648371469604, 0.9662001675553287, 0.9671206443993123, 0.9301872330672977, 0.9029194492884082, 0.94310670287581, 0.9830468873013817, 0.9743584512059067, 0.9768740625400731]|  1.1515100002288818|      0.13508517|[5123, 2080, 0, 130]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 85 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=16
      38|[0.7140168685777597, 0.7154430143775579, 0.7100534776339105, 0.7111090439516513, 0.711606543116362, 0.7107997179692598, 0.7117459560527871, 0.7117215740998564, 0.7095131419607146, 0.7126230902751328, 1.078051496059411, 0.1240478417935183, 0.9677167751789962, 0.965648371469604, 0.9662001675553287, 0.9671206443993123, 0.9301872330672977, 0.9029194492884082, 0.94310670287581, 0.9830468873013817, 0.9743584512059067, 0.9768740625400731]|  1.1515100002288818|      0.12157665|[5282, 2144, 0, 134]                                                       |  | trying quadratic partial model with 49 points | trying quadratic partial model with 87 points | trying quadratic partial model with 123 points | exploitation failed, decreasing delta | actual_k=16
