k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      44|[0.5006721445805994, 25.143763871352622, 45.15965104041731, 41.78476370871479]  |  0.0080623263493180|      0.00024414|[582, 88, 0, 88]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      45|[0.5006717012489634, 25.143836700803618, 45.15979715953519, 41.784582188680936] |  0.0080622313544154|      0.00048828|[595, 90, 0, 90]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      46|[0.5006514317123555, 25.143975268458195, 45.160053133312786, 41.78419067347654] |  0.0080620441585779|      0.00097656|[609, 92, 0, 92]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      47|[0.5006514317123555, 25.143975268458195, 45.160053133312786, 41.78419067347654] |  0.0080620441585779|      0.00048828|[623, 94, 0, 94]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      48|[0.5006166382312829, 25.144034561517067, 45.16036059158076, 41.78381762959253]  |  0.0080618597567081|      0.00097656|[636, 96, 0, 96]                                                           |  | trying linear partial model with 8 points | iterate success | actual_k=1
      49|[0.5006166382312829, 25.144034561517067, 45.16036059158076, 41.78381762959253]  |  0.0080618597567081|      0.00048828|[649, 98, 0, 98]                                                           |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      50|[0.500724591230731, 25.144177351635925, 45.16059316627369, 41.7834273928398]    |  0.0080616772174835|      0.00097656|[662, 100, 0, 100]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      51|[0.500724591230731, 25.144177351635925, 45.16059316627369, 41.7834273928398]    |  0.0080616772174835|      0.00048828|[675, 102, 0, 102]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      52|[0.5006814469765464, 25.14434637272981, 45.16083220381037, 41.783038998609264]  |  0.0080614890903234|      0.00097656|[688, 104, 0, 104]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      53|[0.5006814469765464, 25.14434637272981, 45.16083220381037, 41.783038998609264]  |  0.0080614890903234|      0.00048828|[701, 106, 0, 106]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      54|[0.5006424399295442, 25.144450467444962, 45.161128204337466, 41.78266691661881] |  0.0080613018944860|      0.00097656|[715, 108, 0, 108]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      55|[0.5006424399295442, 25.144450467444962, 45.161128204337466, 41.78266691661881] |  0.0080613018944860|      0.00048828|[728, 110, 0, 110]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      56|[0.5006656772693642, 25.14459550164577, 45.161439734707635, 41.78232080606682]  |  0.0080611128360033|      0.00097656|[741, 112, 0, 112]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      57|[0.5006656772693642, 25.14459550164577, 45.161439734707635, 41.78232080606682]  |  0.0080611128360033|      0.00048828|[754, 114, 0, 114]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      58|[0.500454365852609, 25.144817526830433, 45.16172122077733, 41.78206539174813]   |  0.0080609722062945|      0.00097656|[767, 116, 0, 116]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      59|[0.500454365852609, 25.144817526830433, 45.16172122077733, 41.78206539174813]   |  0.0080609722062945|      0.00048828|[780, 118, 0, 118]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      60|[0.5007288012634992, 25.144926126106945, 45.16197325930252, 41.78176910377451]  |  0.0080607952550054|      0.00097656|[793, 120, 0, 120]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      61|[0.5007288012634992, 25.144926126106945, 45.16197325930252, 41.78176910377451]  |  0.0080607952550054|      0.00048828|[806, 122, 0, 122]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      62|[0.5006307151586635, 25.14506577753872, 45.16225973511609, 41.7814124151414]    |  0.0080606080591679|      0.00097656|[819, 124, 0, 124]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      63|[0.5006307151586635, 25.14506577753872, 45.16225973511609, 41.7814124151414]    |  0.0080606080591679|      0.00048828|[832, 126, 0, 126]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      64|[0.5006904938300715, 25.145222966783393, 45.162537026808224, 41.781047386446126]|  0.0080604208633304|      0.00097656|[846, 128, 0, 128]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      65|[0.5006904938300715, 25.145222966783393, 45.162537026808224, 41.781047386446126]|  0.0080604208633304|      0.00048828|[859, 130, 0, 130]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      66|[0.5005966574948107, 25.145361938944493, 45.162867097240095, 41.78072902569206] |  0.0080602383241057|      0.00097656|[872, 132, 0, 132]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      67|[0.5005966574948107, 25.145361938944493, 45.162867097240095, 41.78072902569206] |  0.0080602383241057|      0.00048828|[885, 134, 0, 134]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      68|[0.500626084498315, 25.145446286575073, 45.163141579908626, 41.78033520165463]  |  0.0080600501969457|      0.00097656|[898, 136, 0, 136]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      69|[0.500626084498315, 25.145446286575073, 45.163141579908626, 41.78033520165463]  |  0.0080600501969457|      0.00048828|[911, 138, 0, 138]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      70|[0.5006979058176293, 25.14553552329729, 45.16342672909802, 41.779955745432666]  |  0.0080598657950759|      0.00097656|[925, 140, 0, 140]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      71|[0.5006979058176293, 25.14553552329729, 45.16342672909802, 41.779955745432666]  |  0.0080598657950759|      0.00048828|[938, 142, 0, 142]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      72|[0.5006328605589886, 25.145677751906707, 45.16371672425867, 41.77959538238948]  |  0.0080596776679158|      0.00097656|[951, 144, 0, 144]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      73|[0.5006328605589886, 25.145677751906707, 45.16371672425867, 41.77959538238948]  |  0.0080596776679158|      0.00048828|[965, 146, 0, 146]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      74|[0.5006645254648477, 25.14581440696289, 45.164024968614015, 41.77924363428947]  |  0.0080594886094332|      0.00097656|[978, 148, 0, 148]                                                         |  | trying linear partial model with 8 points | iterate success | actual_k=1
      75|[0.5006645254648477, 25.14581440696289, 45.164024968614015, 41.77924363428947]  |  0.0080594886094332|      0.00048828|[991, 150, 0, 150]                                                         |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      76|[0.5006408436993646, 25.145957934983727, 45.164317155998816, 41.77888047593216] |  0.0080593004822731|      0.00097656|[1004, 152, 0, 152]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      77|[0.5006408436993646, 25.145957934983727, 45.164317155998816, 41.77888047593216] |  0.0080593004822731|      0.00048828|[1017, 154, 0, 154]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      78|[0.5008652211923497, 25.1460720187773, 45.16465410007473, 41.77863242977215]    |  0.0080591645091772|      0.00097656|[1030, 156, 0, 156]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
      79|[0.5008652211923497, 25.1460720187773, 45.16465410007473, 41.77863242977215]    |  0.0080591645091772|      0.00048828|[1043, 158, 0, 158]                                                        |  | trying linear partial model with 8 points | exploitation failed, decreasing delta | actual_k=1
      80|[0.5006158648999128, 25.14616772394242, 45.164925845939784, 41.7783270861547]   |  0.0080589763820171|      0.00097656|[1057, 160, 0, 160]                                                        |  | trying linear partial model with 8 points | iterate success | actual_k=1
