k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      17|[0.5446959770393895, 0.5501820051921024, 0.540814959708803, 0.5432638559579829, 0.5429810767905112, 0.5406240454139695, 0.5428267080491342, 0.5451453984602097, 0.5408723456474049, 0.5457382791017563, 1.097611091225775, -0.3553144254722498, 0.9462425611157022, 0.9411625908978232, 0.9432836638474265, 0.9451135448116877, 0.8810935945700493, 0.8366594279134099, 0.9033038959942531, 0.971275846975095, 0.9553710563842205, 0.9611110345751495]|  0.9717991352081299|      0.50000000|[2487, 172, 0, 43]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      18|[0.5446959770393895, 0.5501820051921024, 0.540814959708803, 0.5432638559579829, 0.5429810767905112, 0.5406240454139695, 0.5428267080491342, 0.5451453984602097, 0.5408723456474049, 0.5457382791017563, 1.097611091225775, -0.3553144254722498, 0.9462425611157022, 0.9411625908978232, 0.9432836638474265, 0.9451135448116877, 0.8810935945700493, 0.8366594279134099, 0.9033038959942531, 0.971275846975095, 0.9553710563842205, 0.9611110345751495]|  0.9717991352081299|      0.25000000|[2661, 184, 0, 46]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      19|[0.4860690175008854, 0.4910961905081479, 0.4814265161244158, 0.483346003364908, 0.4833830859107197, 0.4800439165012096, 0.482766238957776, 0.4853021088413829, 0.4812260977934492, 0.4867549280097992, 1.0976939905361263, -0.5145979548890169, 0.9380884398902443, 0.9325413083084821, 0.9335570288971383, 0.9358861236919164, 0.8621239253137687, 0.8114934357663252, 0.8880046649382395, 0.966650397376678, 0.9489333106090504, 0.9560466931055972]|  0.9160431623458862|      0.50000000|[2777, 192, 0, 48]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      20|[0.4860690175008854, 0.4910961905081479, 0.4814265161244158, 0.483346003364908, 0.4833830859107197, 0.4800439165012096, 0.482766238957776, 0.4853021088413829, 0.4812260977934492, 0.4867549280097992, 1.0976939905361263, -0.5145979548890169, 0.9380884398902443, 0.9325413083084821, 0.9335570288971383, 0.9358861236919164, 0.8621239253137687, 0.8114934357663252, 0.8880046649382395, 0.966650397376678, 0.9489333106090504, 0.9560466931055972]|  0.9160431623458862|      0.25000000|[2949, 204, 0, 51]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      21|[0.4258604069896152, 0.431973314826261, 0.4208181585997316, 0.4237304159932019, 0.4233212717383402, 0.4196934548213937, 0.4225057652873548, 0.4249704069384961, 0.4214862282435006, 0.4275645084862641, 1.0948843987602854, -0.67149140629736, 0.9290393755020554, 0.921850844304239, 0.9236897315645197, 0.9261298629961369, 0.8419627266444247, 0.7841013490457726, 0.8721398499678841, 0.961833962679831, 0.940594374393718, 0.9493069751358875]|  0.8633660674095154|      0.50000000|[3065, 212, 0, 53]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      22|[0.4258604069896152, 0.431973314826261, 0.4208181585997316, 0.4237304159932019, 0.4233212717383402, 0.4196934548213937, 0.4225057652873548, 0.4249704069384961, 0.4214862282435006, 0.4275645084862641, 1.0948843987602854, -0.67149140629736, 0.9290393755020554, 0.921850844304239, 0.9236897315645197, 0.9261298629961369, 0.8419627266444247, 0.7841013490457726, 0.8721398499678841, 0.961833962679831, 0.940594374393718, 0.9493069751358875]|  0.8633660674095154|      0.25000000|[3238, 224, 0, 56]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      23|[0.366496859235533, 0.3720302445906898, 0.3618143108200623, 0.3649847799025391, 0.3631289836857595, 0.3578619859375374, 0.3611190160540058, 0.3641639493994462, 0.3619816780394155, 0.3683716901465817, 1.0900351476026298, -0.8279620353684678, 0.9190158118149825, 0.9128257868732587, 0.91332105620569, 0.9160432167293976, 0.8210009812422683, 0.7568109395914583, 0.856318531110007, 0.9545605143905318, 0.9329348277933267, 0.9422416563809674]|  0.8137543201446533|      0.50000000|[3355, 232, 0, 58]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      24|[0.366496859235533, 0.3720302445906898, 0.3618143108200623, 0.3649847799025391, 0.3631289836857595, 0.3578619859375374, 0.3611190160540058, 0.3641639493994462, 0.3619816780394155, 0.3683716901465817, 1.0900351476026298, -0.8279620353684678, 0.9190158118149825, 0.9128257868732587, 0.91332105620569, 0.9160432167293976, 0.8210009812422683, 0.7568109395914583, 0.856318531110007, 0.9545605143905318, 0.9329348277933267, 0.9422416563809674]|  0.8137543201446533|      0.25000000|[3528, 244, 0, 61]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      25|[0.3060721133616194, 0.3123400168821859, 0.3007158456253971, 0.304104917269242, 0.3030502732872765, 0.298085540406178, 0.3008630022167635, 0.3040173177570519, 0.3028113625264087, 0.3094893122644923, 1.0804227621237914, -0.9828062533339861, 0.9078927694140223, 0.9034659625198623, 0.9017221019429963, 0.9048915862200397, 0.7987649612915944, 0.7263888245848217, 0.8374405258857317, 0.94943662405207, 0.9260882642185209, 0.9345997050119753]|  0.7672134637832642|      0.50000000|[3644, 252, 0, 63]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      26|[0.3060721133616194, 0.3123400168821859, 0.3007158456253971, 0.304104917269242, 0.3030502732872765, 0.298085540406178, 0.3008630022167635, 0.3040173177570519, 0.3028113625264087, 0.3094893122644923, 1.0804227621237914, -0.9828062533339861, 0.9078927694140223, 0.9034659625198623, 0.9017221019429963, 0.9048915862200397, 0.7987649612915944, 0.7263888245848217, 0.8374405258857317, 0.94943662405207, 0.9260882642185209, 0.9345997050119753]|  0.7672134637832642|      0.25000000|[3818, 264, 0, 66]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      27|[0.2461806673252821, 0.2546261142317571, 0.2399097942568166, 0.2437271753616275, 0.2433067503154052, 0.2365991586664423, 0.240591155292645, 0.2434315073384753, 0.243152476118447, 0.2511267593769577, 1.069375297848144, -1.1368448495858674, 0.8955698318763436, 0.8923241887948085, 0.8900630136624796, 0.8921814362358097, 0.7745041554803627, 0.6945349014059262, 0.8175604894100318, 0.9443302449216237, 0.9167128466854966, 0.9253887173206413]|  0.7237962484359741|      0.50000000|[3934, 272, 0, 68]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      28|[0.2461806673252821, 0.2546261142317571, 0.2399097942568166, 0.2437271753616275, 0.2433067503154052, 0.2365991586664423, 0.240591155292645, 0.2434315073384753, 0.243152476118447, 0.2511267593769577, 1.069375297848144, -1.1368448495858674, 0.8955698318763436, 0.8923241887948085, 0.8900630136624796, 0.8921814362358097, 0.7745041554803627, 0.6945349014059262, 0.8175604894100318, 0.9443302449216237, 0.9167128466854966, 0.9253887173206413]|  0.7237962484359741|      0.25000000|[4107, 284, 0, 71]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      29|[0.1858491202332882, 0.1956806783891868, 0.1797003765271203, 0.1833276788053122, 0.1846877757904091, 0.1772595337101586, 0.1797726892187378, 0.1838977611087657, 0.1833829025353692, 0.1922544257762216, 1.0539094214765379, -1.2899732155123955, 0.8829365628346242, 0.8790724392876514, 0.8769450269606329, 0.8798303115852528, 0.747379324466349, 0.6608806825252775, 0.7957858860554202, 0.9379688375592078, 0.9070760693289697, 0.9183018271444484]|  0.6835448741912842|      0.50000000|[4224, 292, 0, 73]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      30|[0.1858491202332882, 0.1956806783891868, 0.1797003765271203, 0.1833276788053122, 0.1846877757904091, 0.1772595337101586, 0.1797726892187378, 0.1838977611087657, 0.1833829025353692, 0.1922544257762216, 1.0539094214765379, -1.2899732155123955, 0.8829365628346242, 0.8790724392876514, 0.8769450269606329, 0.8798303115852528, 0.747379324466349, 0.6608806825252775, 0.7957858860554202, 0.9379688375592078, 0.9070760693289697, 0.9183018271444484]|  0.6835448741912842|      0.25000000|[4396, 304, 0, 76]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      31|[0.1858491202332882, 0.1956806783891868, 0.1797003765271203, 0.1833276788053122, 0.1846877757904091, 0.1772595337101586, 0.1797726892187378, 0.1838977611087657, 0.1833829025353692, 0.1922544257762216, 1.0539094214765379, -1.2899732155123955, 0.8829365628346242, 0.8790724392876514, 0.8769450269606329, 0.8798303115852528, 0.747379324466349, 0.6608806825252775, 0.7957858860554202, 0.9379688375592078, 0.9070760693289697, 0.9183018271444484]|  0.6835448741912842|      0.12500000|[4569, 316, 0, 79]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      32|[0.1567009658165172, 0.1662159007238258, 0.1489892886718662, 0.1536533771630287, 0.1557077602188552, 0.1472470526264531, 0.1495662642807514, 0.1546344930841277, 0.1539096110007138, 0.1630869736581317, 1.0446085368730234, -1.3666411127787796, 0.876413403645177, 0.872142684007916, 0.8696729908582137, 0.8732628762612109, 0.7337335904391397, 0.6428025790995777, 0.7843871857526965, 0.9343661668833463, 0.9018550223487429, 0.9137794560363887]|  0.6646144986152649|      0.25000000|[4685, 324, 0, 81]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      33|[0.1567009658165172, 0.1662159007238258, 0.1489892886718662, 0.1536533771630287, 0.1557077602188552, 0.1472470526264531, 0.1495662642807514, 0.1546344930841277, 0.1539096110007138, 0.1630869736581317, 1.0446085368730234, -1.3666411127787796, 0.876413403645177, 0.872142684007916, 0.8696729908582137, 0.8732628762612109, 0.7337335904391397, 0.6428025790995777, 0.7843871857526965, 0.9343661668833463, 0.9018550223487429, 0.9137794560363887]|  0.6646144986152649|      0.12500000|[4860, 336, 0, 84]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 119 points | exploitation failed, decreasing delta | actual_k=4
      34|[0.1270718399272705, 0.1373186900013521, 0.118947966626156, 0.1242254703502588, 0.1263288787495138, 0.117776673350269, 0.119695411855675, 0.1253212614345701, 0.1248244425002893, 0.1339112279599873, 1.0345790816606766, -1.4433206748141694, 0.8696555054331496, 0.8652124308322062, 0.8625636760042306, 0.8659227364075796, 0.7194454454114254, 0.6232799159833073, 0.7726832438511185, 0.9309262733481934, 0.8968409118784, 0.9087245368514743]|  0.6464807391166687|      0.25000000|[4976, 344, 0, 86]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      35|[0.1270718399272705, 0.1373186900013521, 0.118947966626156, 0.1242254703502588, 0.1263288787495138, 0.117776673350269, 0.119695411855675, 0.1253212614345701, 0.1248244425002893, 0.1339112279599873, 1.0345790816606766, -1.4433206748141694, 0.8696555054331496, 0.8652124308322062, 0.8625636760042306, 0.8659227364075796, 0.7194454454114254, 0.6232799159833073, 0.7726832438511185, 0.9309262733481934, 0.8968409118784, 0.9087245368514743]|  0.6464807391166687|      0.12500000|[5148, 356, 0, 89]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      36|[0.0980085786017255, 0.1080039590685825, 0.089136540817558, 0.0958386260831304, 0.0979370133700447, 0.0881770417252948, 0.0898157767597547, 0.0969011228605957, 0.0957741124835314, 0.105599977638069, 1.0234153146213332, -1.520803811947172, 0.8622869459555823, 0.8583210958225993, 0.855279148148907, 0.8583020505742123, 0.703474959194727, 0.6036494491634101, 0.760703904769376, 0.9272541093466086, 0.8912464463204677, 0.9033984643338069]|  0.6291418671607971|      0.25000000|[5264, 364, 0, 91]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      37|[0.0980085786017255, 0.1080039590685825, 0.089136540817558, 0.0958386260831304, 0.0979370133700447, 0.0881770417252948, 0.0898157767597547, 0.0969011228605957, 0.0957741124835314, 0.105599977638069, 1.0234153146213332, -1.520803811947172, 0.8622869459555823, 0.8583210958225993, 0.855279148148907, 0.8583020505742123, 0.703474959194727, 0.6036494491634101, 0.760703904769376, 0.9272541093466086, 0.8912464463204677, 0.9033984643338069]|  0.6291418671607971|      0.12500000|[5438, 376, 0, 94]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      38|[0.0690889107422207, 0.0799052218577602, 0.059668012842478, 0.0669299224364278, 0.0695985107108516, 0.0589803935819221, 0.0602625232472539, 0.0678878288712493, 0.0670005379582591, 0.0769764634657825, 1.011688626096628, -1.5980058247479847, 0.8548115343311979, 0.8508765650047914, 0.8473294503132401, 0.8504152885770959, 0.6877714112051946, 0.5824869624141563, 0.7476977435491008, 0.9230892458276762, 0.8855751002778665, 0.8979568618585732]|  0.6125895380973816|      0.25000000|[5554, 384, 0, 96]                                                         |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      39|[0.0690889107422207, 0.0799052218577602, 0.059668012842478, 0.0669299224364278, 0.0695985107108516, 0.0589803935819221, 0.0602625232472539, 0.0678878288712493, 0.0670005379582591, 0.0769764634657825, 1.011688626096628, -1.5980058247479847, 0.8548115343311979, 0.8508765650047914, 0.8473294503132401, 0.8504152885770959, 0.6877714112051946, 0.5824869624141563, 0.7476977435491008, 0.9230892458276762, 0.8855751002778665, 0.8979568618585732]|  0.6125895380973816|      0.12500000|[5727, 396, 0, 99]                                                         |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      40|[0.0401687274208823, 0.0507866700136676, 0.0313165772625357, 0.03865475411324, 0.0411984467253445, 0.0300846250561443, 0.0305346772406804, 0.039960605323714, 0.0385744431930222, 0.0477787645200684, 0.9984038006907602, -1.6751489366407277, 0.847575758352536, 0.842882227620777, 0.8391838687024609, 0.8420703194713295, 0.6715993634978442, 0.560487002631085, 0.7347377299430393, 0.9187583409378771, 0.8802619265796005, 0.8923525211906244]|  0.5968185663223267|      0.25000000|[5843, 404, 0, 101]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      41|[0.0401687274208823, 0.0507866700136676, 0.0313165772625357, 0.03865475411324, 0.0411984467253445, 0.0300846250561443, 0.0305346772406804, 0.039960605323714, 0.0385744431930222, 0.0477787645200684, 0.9984038006907602, -1.6751489366407277, 0.847575758352536, 0.842882227620777, 0.8391838687024609, 0.8420703194713295, 0.6715993634978442, 0.560487002631085, 0.7347377299430393, 0.9187583409378771, 0.8802619265796005, 0.8923525211906244]|  0.5968185663223267|      0.12500000|[6016, 416, 0, 104]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      42|[0.0121578620251079, 0.0225124760283513, 0.0026512372143575, 0.0105675589857064, 0.0133743810695474, 0.0008820766053883, 0.0004395208591483, 0.0118802355192208, 0.0105873821706123, 0.0197254012981868, 0.9851229925605443, -1.752532661193778, 0.8394963906468674, 0.8348010259511248, 0.8308727074966178, 0.8328362137362529, 0.6543618990192056, 0.5379288981784408, 0.7208510166333569, 0.9146290014610512, 0.8740231949202407, 0.8864745797812937]|  0.5818158388137817|      0.25000000|[6132, 424, 0, 106]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      43|[0.0121578620251079, 0.0225124760283513, 0.0026512372143575, 0.0105675589857064, 0.0133743810695474, 0.0008820766053883, 0.0004395208591483, 0.0118802355192208, 0.0105873821706123, 0.0197254012981868, 0.9851229925605443, -1.752532661193778, 0.8394963906468674, 0.8348010259511248, 0.8308727074966178, 0.8328362137362529, 0.6543618990192056, 0.5379288981784408, 0.7208510166333569, 0.9146290014610512, 0.8740231949202407, 0.8864745797812937]|  0.5818158388137817|      0.12500000|[6304, 436, 0, 109]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 117 points | exploitation failed, decreasing delta | actual_k=4
      44|[-0.0158233214395365, -0.0052368174305652, -0.0255795810112399, -0.0180349268792248, -0.0145019510395213, -0.0266620967236753, -0.0286255941525382, -0.0153309301975939, -0.0171493472552254, -0.0078784734757349, 0.9704908697982526, -1.830368090107855, 0.8305166774363245, 0.8265226554174007, 0.8220557602866219, 0.8231557649849907, 0.6368402264693407, 0.5137313746434148, 0.7061551280072104, 0.9097292494357085, 0.8680048653442528, 0.8799283275428793]|  0.5675668716430664|      0.25000000|[6420, 444, 0, 111]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
      45|[-0.0158233214395365, -0.0052368174305652, -0.0255795810112399, -0.0180349268792248, -0.0145019510395213, -0.0266620967236753, -0.0286255941525382, -0.0153309301975939, -0.0171493472552254, -0.0078784734757349, 0.9704908697982526, -1.830368090107855, 0.8305166774363245, 0.8265226554174007, 0.8220557602866219, 0.8231557649849907, 0.6368402264693407, 0.5137313746434148, 0.7061551280072104, 0.9097292494357085, 0.8680048653442528, 0.8799283275428793]|  0.5675668716430664|      0.12500000|[6593, 456, 0, 114]                                                        |  | trying quadratic partial model with 61 points | trying quadratic partial model with 118 points | exploitation failed, decreasing delta | actual_k=4
      46|[-0.0435637185079393, -0.0326062978058478, -0.0533610203297582, -0.0449966620810356, -0.0408740337122859, -0.0547758777063199, -0.058086014792357, -0.0432653505019073, -0.0445005745736626, -0.0358701812995147, 0.9557549533387825, -1.90837546393625, 0.821702089729504, 0.816963578023387, 0.8134486549976516, 0.812733153359085, 0.6176883662511846, 0.4895274637781146, 0.6911903529014622, 0.9050412898604153, 0.8608245782507773, 0.8737875834030029]|  0.5540556311607361|      0.25000000|[6709, 464, 0, 116]                                                        |  | trying quadratic partial model with 61 points | iterate success | actual_k=4
