k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      22|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.01000000|[1158, 176, 0, 44]                                                         |  | trying linear partial model with 29 points | iterate success | actual_k=4
      23|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00100000|[1210, 184, 0, 46]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      24|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00010000|[1263, 192, 0, 48]                                                         |  | trying linear partial model with 29 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      25|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00001000|[1316, 200, 0, 50]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      26|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000100|[1368, 208, 0, 52]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      27|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000010|[1421, 216, 0, 54]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      28|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000001|[1473, 224, 0, 56]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      29|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1526, 232, 0, 58]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      30|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1577, 240, 0, 60]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
      31|[1.3121309715028742, 0.0409570434794835, 0.188613664287976, 2.0962721057995726, 0.0620693128813712, 0.2165330627980666, 0.2288147910259113, -0.2646950045765808, -0.2622273296424121, -0.1343441312974257, -0.3738629358906403, -0.0600397436611285, 0.1446671102953936, -0.333177152274538, -0.0998573033175048, -0.1836433044207779, 0.0841132681260253, 0.3297765983485015, 0.1203307963839785, 0.2677852053093086, -0.4773647585057326, 0.022861931931929]| 12.1441240310668945|      0.00000000|[1628, 248, 0, 62]                                                         |  | trying linear partial model with 29 points | exploitation failed, decreasing delta | actual_k=4
