k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 0.0]                                                                      |416.0000000000000000|      1.00000000|[0, 0, 0, 0]                                                               | 
      48|[1.0013368320627478, 0.9976492059863491]                                        |  0.0005847457796335|      0.01000000|[258, 96, 0, 96]                                                           |  | trying linear partial model with 4 points | iterate success | actual_k=1
      49|[1.0013368320627478, 0.9976492059863491]                                        |  0.0005847457796335|      0.00100000|[264, 98, 0, 98]                                                           |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      50|[1.0005554606922475, 0.9982732723140441]                                        |  0.0002430526947137|      0.01000000|[270, 100, 0, 100]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      51|[1.0005554606922475, 0.9982732723140441]                                        |  0.0002430526947137|      0.00100000|[276, 102, 0, 102]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      52|[1.0000638232152894, 0.9991440722860527]                                        |  0.0000566343696846|      0.01000000|[281, 104, 0, 104]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      53|[1.0000638232152894, 0.9991440722860527]                                        |  0.0000566343696846|      0.00100000|[286, 106, 0, 106]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      54|[1.0000638232152894, 0.9991440722860527]                                        |  0.0000566343696846|      0.00010000|[291, 108, 0, 108]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      55|[1.0000850752516446, 0.999241787949847]                                         |  0.0000440689254901|      0.00100000|[296, 110, 0, 110]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      56|[1.0000850752516446, 0.999241787949847]                                         |  0.0000440689254901|      0.00010000|[301, 112, 0, 112]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      57|[1.0000806736153136, 0.9993416910308686]                                        |  0.0000331798073603|      0.00100000|[307, 114, 0, 114]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      58|[0.9998997419621235, 1.0003251867028844]                                        |  0.0000085435585788|      0.01000000|[312, 116, 0, 116]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      59|[0.9998997419621235, 1.0003251867028844]                                        |  0.0000085435585788|      0.00100000|[318, 118, 0, 118]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      60|[0.9998997419621235, 1.0003251867028844]                                        |  0.0000085435585788|      0.00010000|[323, 120, 0, 120]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      61|[0.9999543965783575, 1.00024144380513]                                          |  0.0000044764665290|      0.00100000|[329, 122, 0, 122]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      62|[0.9999543965783575, 1.00024144380513]                                          |  0.0000044764665290|      0.00010000|[334, 124, 0, 124]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      63|[0.9999291329533894, 1.0001446876722315]                                        |  0.0000020061695523|      0.00100000|[339, 126, 0, 126]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      64|[0.9999291329533894, 1.0001446876722315]                                        |  0.0000020061695523|      0.00010000|[344, 128, 0, 128]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      65|[0.9999597549336441, 1.0000494915886708]                                        |  0.0000003659610286|      0.00100000|[349, 130, 0, 130]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      66|[0.9999597549336441, 1.0000494915886708]                                        |  0.0000003659610286|      0.00010000|[354, 132, 0, 132]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      67|[0.9999597549336441, 1.0000494915886708]                                        |  0.0000003659610286|      0.00001000|[359, 134, 0, 134]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      68|[0.999968966650077, 1.0000456000233868]                                         |  0.0000002563610906|      0.00010000|[365, 136, 0, 136]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      69|[0.999968966650077, 1.0000456000233868]                                         |  0.0000002563610906|      0.00001000|[371, 138, 0, 138]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      70|[0.9999772208310652, 1.000039954804506]                                         |  0.0000001691203693|      0.00010000|[377, 140, 0, 140]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      71|[0.9999772208310652, 1.000039954804506]                                         |  0.0000001691203693|      0.00001000|[382, 142, 0, 142]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      72|[0.9999828655443787, 1.0000317002777717]                                        |  0.0000001024684622|      0.00010000|[387, 144, 0, 144]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      73|[0.9999828655443787, 1.0000317002777717]                                        |  0.0000001024684622|      0.00001000|[393, 146, 0, 146]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      74|[0.9999907957996731, 1.0000256083937475]                                        |  0.0000000550430350|      0.00010000|[398, 148, 0, 148]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      75|[0.9999907957996731, 1.0000256083937475]                                        |  0.0000000550430350|      0.00001000|[404, 150, 0, 150]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      76|[0.9999949869890414, 1.000016529080355]                                         |  0.0000000220009451|      0.00010000|[409, 152, 0, 152]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      77|[0.9999949869890414, 1.000016529080355]                                         |  0.0000000220009451|      0.00001000|[414, 154, 0, 154]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      78|[0.9999949869890414, 1.000016529080355]                                         |  0.0000000220009451|      0.00000100|[419, 156, 0, 156]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      79|[0.999995353071455, 1.000015598497921]                                          |  0.0000000195272101|      0.00001000|[424, 158, 0, 158]                                                         |  | trying linear partial model with 4 points | iterate success | actual_k=1
      80|[0.999995353071455, 1.000015598497921]                                          |  0.0000000195272101|      0.00000100|[430, 160, 0, 160]                                                         |  | trying linear partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
