k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[94.9, 0.009, 90.1, 113.0, 20.0, 73.8, 140.0, 20.0]                             |18905.1353157950870809|      1.00000000|[0, 0, 0, 0]                                                               | 
      32|[94.90000039585489, 0.0090393267555461, 90.10000000376478, 112.99999869193361, 20.000000211083076, 73.79999856211317, 140.0000011054426, 20.000000084822663]|18899.4003906250000000|      0.00000100|[931, 364, 0, 91]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      33|[94.90000005058076, 0.009040072800063, 90.09999991257267, 112.99999857025122, 20.000000712807594, 73.79999862528045, 140.0000012616798, 20.000000229574496]|18899.3671875000000000|      0.00001000|[952, 372, 0, 93]                                                          |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      34|[94.90000005058076, 0.009040072800063, 90.09999991257267, 112.99999857025122, 20.000000712807594, 73.79999862528045, 140.0000012616798, 20.000000229574496]|18899.3671875000000000|      0.00000100|[990, 388, 0, 97]                                                          |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      35|[94.90000008777452, 0.0090410587011782, 90.09999992578075, 112.99999845176367, 20.000000634153455, 73.79999863480153, 140.00000133543543, 20.000000203404937]|18899.3300781250000000|      0.00001000|[1010, 396, 0, 99]                                                         |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      36|[94.90000008777452, 0.0090410587011782, 90.09999992578075, 112.99999845176367, 20.000000634153455, 73.79999863480153, 140.00000133543543, 20.000000203404937]|18899.3300781250000000|      0.00000100|[1050, 412, 0, 103]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      37|[94.90000007904891, 0.0090420418531117, 90.09999993951895, 112.999998297775, 20.000000625377474, 73.79999863514391, 140.0000014321224, 20.000000200341262]|18899.2988281250000000|      0.00001000|[1072, 420, 0, 105]                                                        |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      38|[94.90000007904891, 0.0090420418531117, 90.09999993951895, 112.999998297775, 20.000000625377474, 73.79999863514391, 140.0000014321224, 20.000000200341262]|18899.2988281250000000|      0.00000100|[1104, 432, 0, 108]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      39|[94.90000008962028, 0.0090429923925512, 90.10000009558709, 112.99999813135909, 20.000000521377, 73.79999872745114, 140.00000146240197, 20.000000045235076]|18899.2714843750000000|      0.00001000|[1124, 440, 0, 110]                                                        |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      40|[94.90000008962028, 0.0090429923925512, 90.10000009558709, 112.99999813135909, 20.000000521377, 73.79999872745114, 140.00000146240197, 20.000000045235076]|18899.2714843750000000|      0.00000100|[1155, 452, 0, 113]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      41|[94.90000008028447, 0.0090439679447387, 90.1000001163896, 112.9999979500018, 20.000000549888796, 73.79999872997267, 140.00000157869442, 20.000000068566273]|18899.2480468750000000|      0.00001000|[1184, 464, 0, 116]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | iterate success | actual_k=4
      42|[94.90000008028447, 0.0090439679447387, 90.1000001163896, 112.9999979500018, 20.000000549888796, 73.79999872997267, 140.00000157869442, 20.000000068566273]|18899.2480468750000000|      0.00000100|[1222, 480, 0, 120]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 21 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      43|[94.9000000659105, 0.0090449212232716, 90.10000015058554, 112.99999771448098, 20.000000526422053, 73.79999870726236, 140.0000017598408, 20.000000091664887]|18899.2304687500000000|      0.00001000|[1252, 492, 0, 123]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | iterate success | actual_k=4
      44|[94.9000000659105, 0.0090449212232716, 90.10000015058554, 112.99999771448098, 20.000000526422053, 73.79999870726236, 140.0000017598408, 20.000000091664887]|18899.2304687500000000|      0.00000100|[1284, 504, 0, 126]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 24 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      45|[94.90000009649665, 0.009045845969954, 90.10000006700898, 112.99999746650754, 20.000000516982375, 73.7999987111516, 140.00000203420137, 20.000000099029236]|18899.2167968750000000|      0.00001000|[1305, 512, 0, 128]                                                        |  | trying quadratic partial model with 13 points | iterate success | actual_k=4
      46|[94.90000009649665, 0.009045845969954, 90.10000006700898, 112.99999746650754, 20.000000516982375, 73.7999987111516, 140.00000203420137, 20.000000099029236]|18899.2167968750000000|      0.00000100|[1344, 528, 0, 132]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      47|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00001000|[1376, 540, 0, 135]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 23 points | iterate success | actual_k=4
      48|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000100|[1414, 556, 0, 139]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 31 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      49|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000010|[1452, 572, 0, 143]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      50|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000001|[1489, 588, 0, 147]                                                        |  | trying quadratic partial model with 13 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 22 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 30 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=4
      51|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000000|[1527, 604, 0, 151]                                                        |  | trying quadratic partial model with 13 points | trying quadratic partial model with 23 points | trying quadratic partial model with 31 points | exploitation failed, decreasing delta | actual_k=4
      52|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000000|[1563, 620, 0, 155]                                                        |  | trying quadratic partial model with 13 points | trying quadratic partial model with 22 points | trying quadratic partial model with 30 points | exploitation failed, decreasing delta | actual_k=4
      53|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000000|[1592, 632, 0, 158]                                                        |  | trying quadratic partial model with 13 points | trying quadratic partial model with 23 points | exploitation failed, decreasing delta | actual_k=4
      54|[94.90000015160619, 0.0090467631979479, 90.10000003237532, 112.99999718398963, 20.00000053372415, 73.7999987207778, 140.0000023040732, 20.000000136925504]|18899.2070312500000000|      0.00000000|[1627, 648, 0, 162]                                                        |  | trying quadratic partial model with 13 points | trying quadratic partial model with 21 points | trying quadratic partial model with 31 points | exploitation failed, decreasing delta | actual_k=4
