k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      41|[-0.2996929133921026, -0.2121477954419042, -0.0819585444208048, -0.0380471585356259, -0.0396484387078526, -0.0507379202693632, -0.0619415142919635, -0.0695894112486071, -0.0864228632890564, -0.0859550586183983, -0.0807361028672128, -0.0956599040918833, -0.1131589605903008, -0.1276636002978664, -0.1348149257277369, -0.1385143917956879, -0.1419227453045846, -0.1443933278804077, -0.1474465713650293, -0.1611602636572328, -0.1682609332341164, -0.1735507426605127, -0.1745160059807873, -0.1826168946144883, -0.201516910867267, -0.2088604480211083, -0.2062937782371929, -0.1984094469073729, -0.1989861807405068, -0.2008784673120877, -0.208765530922075, -0.2222997366323971, -0.2216729998406247, -0.2191739313828145, -0.2156330868960767, -0.2212885029573429, -0.2316513597102837, -0.2381225374621843, -0.2420228847013936, -0.2474382980381417, -0.2427404901902707, -0.2371480449797519, -0.2317964760499252, -0.2433354378488728, -0.2478098050110661, -0.2493770671270905, -0.2500082169870096, -0.2335278391130841, -0.2313037802102018, -0.2371336013282516, -0.2426189684830941, -0.2461526965035006, -0.2436126298323516, -0.2516132082919298, -0.2579408865932777, -0.2513751789172897, -0.2545840806587743, -0.2532526546457914, -0.2397522497009572, -0.2434427222403119, -0.2382116816421551, -0.230483840546921, -0.2319998604250573, -0.2423607252606154, -0.2254564251058958, -0.2287519778901197, -0.2226247107218273, -0.2129903215580605, -0.21627717627615, -0.2049580543353965, -0.1930913885914474, -0.1902305168757331, -0.1982443758497477, -0.1845317165449301, -0.1757549243498842, -0.1836108135429987, -0.1903985530342548, -0.1828477825902894, -0.1864610533337894, -0.1813732961562082, -0.1697013576520015, -0.1578394568013483, -0.1429138915340692, -0.143576221907401, -0.144745252516267, -0.1275378363751525, -0.1207632354438245, -0.1114639079996971, -0.1082429634245939, -0.1061699330116411, -0.1059326548233672, -0.0829317083860046, -0.0799294822875635, -0.074350571957858, -0.0559485927442656, -0.0412905660101876, -0.0305441799065404, -0.0789020497538512, -0.2038054779701707, -0.3059542739052759]| 99.1614685058593750|      0.20000000|[9661, 574, 0, 82]                                                         |  | trying linear partial model with 122 points | iterate success | actual_k=7
      42|[-0.2996929133921026, -0.2121477954419042, -0.0819585444208048, -0.0380471585356259, -0.0396484387078526, -0.0507379202693632, -0.0619415142919635, -0.0695894112486071, -0.0864228632890564, -0.0859550586183983, -0.0807361028672128, -0.0956599040918833, -0.1131589605903008, -0.1276636002978664, -0.1348149257277369, -0.1385143917956879, -0.1419227453045846, -0.1443933278804077, -0.1474465713650293, -0.1611602636572328, -0.1682609332341164, -0.1735507426605127, -0.1745160059807873, -0.1826168946144883, -0.201516910867267, -0.2088604480211083, -0.2062937782371929, -0.1984094469073729, -0.1989861807405068, -0.2008784673120877, -0.208765530922075, -0.2222997366323971, -0.2216729998406247, -0.2191739313828145, -0.2156330868960767, -0.2212885029573429, -0.2316513597102837, -0.2381225374621843, -0.2420228847013936, -0.2474382980381417, -0.2427404901902707, -0.2371480449797519, -0.2317964760499252, -0.2433354378488728, -0.2478098050110661, -0.2493770671270905, -0.2500082169870096, -0.2335278391130841, -0.2313037802102018, -0.2371336013282516, -0.2426189684830941, -0.2461526965035006, -0.2436126298323516, -0.2516132082919298, -0.2579408865932777, -0.2513751789172897, -0.2545840806587743, -0.2532526546457914, -0.2397522497009572, -0.2434427222403119, -0.2382116816421551, -0.230483840546921, -0.2319998604250573, -0.2423607252606154, -0.2254564251058958, -0.2287519778901197, -0.2226247107218273, -0.2129903215580605, -0.21627717627615, -0.2049580543353965, -0.1930913885914474, -0.1902305168757331, -0.1982443758497477, -0.1845317165449301, -0.1757549243498842, -0.1836108135429987, -0.1903985530342548, -0.1828477825902894, -0.1864610533337894, -0.1813732961562082, -0.1697013576520015, -0.1578394568013483, -0.1429138915340692, -0.143576221907401, -0.144745252516267, -0.1275378363751525, -0.1207632354438245, -0.1114639079996971, -0.1082429634245939, -0.1061699330116411, -0.1059326548233672, -0.0829317083860046, -0.0799294822875635, -0.074350571957858, -0.0559485927442656, -0.0412905660101876, -0.0305441799065404, -0.0789020497538512, -0.2038054779701707, -0.3059542739052759]| 99.1614685058593750|      0.04000000|[9897, 588, 0, 84]                                                         |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      43|[-0.3128719030640001, -0.2172931075263484, -0.0896135433045001, -0.0438987180155638, -0.0370825625100568, -0.0478879082295944, -0.0582750919698407, -0.0715740882100099, -0.0813424500108085, -0.0885837642648585, -0.0853980594813733, -0.096406574836512, -0.1095303935352114, -0.1285918357744311, -0.1337121131249062, -0.138097816196719, -0.1389122616174682, -0.1396224155299644, -0.1490363432850635, -0.1578637741566332, -0.1698980882095076, -0.1728756686472986, -0.1796899618005535, -0.1824420476870252, -0.1997434152485728, -0.2126703756446068, -0.2009130431937156, -0.200317858654052, -0.1971180543552741, -0.1990607203282083, -0.2081839892053546, -0.2249451113854359, -0.2182600970051918, -0.2178746313855202, -0.2136594088572826, -0.2179071164280869, -0.2323883581749702, -0.24072115420015, -0.244109118162382, -0.2509937153360668, -0.2404641955333258, -0.2374768371134289, -0.2385957815538589, -0.2384988700063937, -0.2457697135681494, -0.2523890902337461, -0.2442046645485131, -0.2373508409073937, -0.2279520864643027, -0.2323765977506667, -0.24220994390417, -0.2455408024808527, -0.2478855162506957, -0.253848142815621, -0.254854467501509, -0.2501355520959927, -0.252283985973441, -0.2521247866692569, -0.2395583677442563, -0.2429098334831639, -0.2357161803098531, -0.231640412905829, -0.2351081514440832, -0.2356833121138143, -0.2229509568319147, -0.2286360313533208, -0.2233771028268363, -0.2126259208815949, -0.2094887866003968, -0.2058152108466637, -0.191020421863388, -0.189761033541151, -0.1940142942880407, -0.1887165359270844, -0.1731181609614273, -0.1813058904041032, -0.189781149326822, -0.1817407753450055, -0.1840543390697389, -0.1801245124731083, -0.1681574673467344, -0.152575954017204, -0.1444074352614172, -0.1417028285700205, -0.1388780772127852, -0.1280581366230774, -0.1220026860263061, -0.1083647920148833, -0.1076170779229308, -0.11201529905713, -0.1030126177096105, -0.0910247508503346, -0.0797720525864506, -0.072492794991496, -0.0618162438591601, -0.0441939487412766, -0.0279432020008531, -0.0829542306952484, -0.220491090806319, -0.3151739253815632]| 99.1353302001953125|      0.20000000|[10133, 602, 0, 86]                                                        |  | trying linear partial model with 122 points | iterate success | actual_k=7
      44|[-0.3128719030640001, -0.2172931075263484, -0.0896135433045001, -0.0438987180155638, -0.0370825625100568, -0.0478879082295944, -0.0582750919698407, -0.0715740882100099, -0.0813424500108085, -0.0885837642648585, -0.0853980594813733, -0.096406574836512, -0.1095303935352114, -0.1285918357744311, -0.1337121131249062, -0.138097816196719, -0.1389122616174682, -0.1396224155299644, -0.1490363432850635, -0.1578637741566332, -0.1698980882095076, -0.1728756686472986, -0.1796899618005535, -0.1824420476870252, -0.1997434152485728, -0.2126703756446068, -0.2009130431937156, -0.200317858654052, -0.1971180543552741, -0.1990607203282083, -0.2081839892053546, -0.2249451113854359, -0.2182600970051918, -0.2178746313855202, -0.2136594088572826, -0.2179071164280869, -0.2323883581749702, -0.24072115420015, -0.244109118162382, -0.2509937153360668, -0.2404641955333258, -0.2374768371134289, -0.2385957815538589, -0.2384988700063937, -0.2457697135681494, -0.2523890902337461, -0.2442046645485131, -0.2373508409073937, -0.2279520864643027, -0.2323765977506667, -0.24220994390417, -0.2455408024808527, -0.2478855162506957, -0.253848142815621, -0.254854467501509, -0.2501355520959927, -0.252283985973441, -0.2521247866692569, -0.2395583677442563, -0.2429098334831639, -0.2357161803098531, -0.231640412905829, -0.2351081514440832, -0.2356833121138143, -0.2229509568319147, -0.2286360313533208, -0.2233771028268363, -0.2126259208815949, -0.2094887866003968, -0.2058152108466637, -0.191020421863388, -0.189761033541151, -0.1940142942880407, -0.1887165359270844, -0.1731181609614273, -0.1813058904041032, -0.189781149326822, -0.1817407753450055, -0.1840543390697389, -0.1801245124731083, -0.1681574673467344, -0.152575954017204, -0.1444074352614172, -0.1417028285700205, -0.1388780772127852, -0.1280581366230774, -0.1220026860263061, -0.1083647920148833, -0.1076170779229308, -0.11201529905713, -0.1030126177096105, -0.0910247508503346, -0.0797720525864506, -0.072492794991496, -0.0618162438591601, -0.0441939487412766, -0.0279432020008531, -0.0829542306952484, -0.220491090806319, -0.3151739253815632]| 99.1353302001953125|      0.04000000|[10369, 616, 0, 88]                                                        |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      45|[-0.3128719030640001, -0.2172931075263484, -0.0896135433045001, -0.0438987180155638, -0.0370825625100568, -0.0478879082295944, -0.0582750919698407, -0.0715740882100099, -0.0813424500108085, -0.0885837642648585, -0.0853980594813733, -0.096406574836512, -0.1095303935352114, -0.1285918357744311, -0.1337121131249062, -0.138097816196719, -0.1389122616174682, -0.1396224155299644, -0.1490363432850635, -0.1578637741566332, -0.1698980882095076, -0.1728756686472986, -0.1796899618005535, -0.1824420476870252, -0.1997434152485728, -0.2126703756446068, -0.2009130431937156, -0.200317858654052, -0.1971180543552741, -0.1990607203282083, -0.2081839892053546, -0.2249451113854359, -0.2182600970051918, -0.2178746313855202, -0.2136594088572826, -0.2179071164280869, -0.2323883581749702, -0.24072115420015, -0.244109118162382, -0.2509937153360668, -0.2404641955333258, -0.2374768371134289, -0.2385957815538589, -0.2384988700063937, -0.2457697135681494, -0.2523890902337461, -0.2442046645485131, -0.2373508409073937, -0.2279520864643027, -0.2323765977506667, -0.24220994390417, -0.2455408024808527, -0.2478855162506957, -0.253848142815621, -0.254854467501509, -0.2501355520959927, -0.252283985973441, -0.2521247866692569, -0.2395583677442563, -0.2429098334831639, -0.2357161803098531, -0.231640412905829, -0.2351081514440832, -0.2356833121138143, -0.2229509568319147, -0.2286360313533208, -0.2233771028268363, -0.2126259208815949, -0.2094887866003968, -0.2058152108466637, -0.191020421863388, -0.189761033541151, -0.1940142942880407, -0.1887165359270844, -0.1731181609614273, -0.1813058904041032, -0.189781149326822, -0.1817407753450055, -0.1840543390697389, -0.1801245124731083, -0.1681574673467344, -0.152575954017204, -0.1444074352614172, -0.1417028285700205, -0.1388780772127852, -0.1280581366230774, -0.1220026860263061, -0.1083647920148833, -0.1076170779229308, -0.11201529905713, -0.1030126177096105, -0.0910247508503346, -0.0797720525864506, -0.072492794991496, -0.0618162438591601, -0.0441939487412766, -0.0279432020008531, -0.0829542306952484, -0.220491090806319, -0.3151739253815632]| 99.1353302001953125|      0.00800000|[10605, 630, 0, 90]                                                        |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      46|[-0.3156154511373809, -0.2199794222129947, -0.0910479106662957, -0.0436205695808883, -0.0358229194738232, -0.0482761426088221, -0.0588981464909474, -0.0719528365121595, -0.0812057392482108, -0.0875107620651988, -0.0857464530782645, -0.0962282076188567, -0.1098497643003471, -0.1281603708884627, -0.1341887895306079, -0.1377701454535742, -0.138952601627763, -0.140142118618652, -0.1489779713517799, -0.1581441472186111, -0.1692312167311695, -0.1733194515767497, -0.1790777838829113, -0.1833859569827638, -0.1992376669058336, -0.2120587596544789, -0.2007166377912965, -0.1997956260242935, -0.1976662533396132, -0.1989275060379284, -0.2090751006000461, -0.2247448493432765, -0.2188361742068166, -0.2183560533706051, -0.2141491838096521, -0.2182213825287015, -0.2319564742764796, -0.2405458313567597, -0.2441974296163217, -0.2505262359720658, -0.240652193853068, -0.2376613722862681, -0.238633358534752, -0.2389104270710107, -0.2471263002963989, -0.2515625309955757, -0.2449811932719961, -0.2376150933982676, -0.2287054889315223, -0.2318068647251054, -0.2411615058143375, -0.2450358130327921, -0.2483109864551952, -0.2536901007752732, -0.2550678181060489, -0.2504003448954367, -0.2527396052934407, -0.2524232136188231, -0.2401620283057455, -0.2419663177898638, -0.235019340163814, -0.2317584921074491, -0.2356395792697579, -0.2355866512600451, -0.2231510272254383, -0.2284130692832815, -0.2229942925759989, -0.213900306244647, -0.2094649868657091, -0.2054530655866378, -0.1910944867337477, -0.1897699787837434, -0.194269006340668, -0.1873927835754648, -0.1740254797969702, -0.1805040651385386, -0.1885529039632272, -0.1808417271022976, -0.1837524188010987, -0.178999896399947, -0.1677289142319343, -0.1525634885085267, -0.1444555731405077, -0.1413030801847006, -0.1386285797296008, -0.1285102856839063, -0.1211245634453932, -0.1086617186423356, -0.1076154115873666, -0.1120193179580502, -0.1023711304294887, -0.0910209183868505, -0.0800744068582898, -0.0726107403123775, -0.0615117273844061, -0.0435846276631772, -0.029011159024029, -0.0843064230027261, -0.2234558311987127, -0.317560112682536]| 99.1279983520507812|      0.04000000|[10841, 644, 0, 92]                                                        |  | trying linear partial model with 122 points | iterate success | actual_k=7
      47|[-0.3274093674071758, -0.2311386143717143, -0.0993099196666284, -0.0403382138136639, -0.0363066569901289, -0.0449588503680561, -0.062006175036333, -0.0717508509671914, -0.0837569544694143, -0.0851029750847135, -0.088347558579076, -0.0935839283878128, -0.1134642980387481, -0.1270847832400193, -0.1404299482724176, -0.1384621855552965, -0.1380733692799418, -0.1437509995000341, -0.145132183731138, -0.1579648339397234, -0.1676233360196002, -0.1686886781378565, -0.1825796579584751, -0.180331182212445, -0.2004869663249367, -0.2106818740633079, -0.2011778080321668, -0.2025730472087338, -0.2015145677303991, -0.2003976982411557, -0.207633232123318, -0.222264403568479, -0.2233705983372278, -0.2151490694329168, -0.2121681964246023, -0.2206758502518553, -0.2279586832995321, -0.2407756024164289, -0.2468200195110501, -0.2457399443325856, -0.2436410855051425, -0.2363597889611578, -0.2378130906704934, -0.2420202626446483, -0.2505796276405718, -0.2527206261121793, -0.2392687937978529, -0.2369592676678813, -0.2276185036126768, -0.2318160743211505, -0.2417145342394723, -0.2431925019439639, -0.2449056698244221, -0.2537576209051456, -0.2543240948414157, -0.2474766418271307, -0.2507844205772983, -0.2464375366930773, -0.2452805719649532, -0.240659836070948, -0.2352146153936338, -0.2359955479987291, -0.2349144993879338, -0.2339399750331056, -0.2229331595634935, -0.2266274426244643, -0.2217983708388366, -0.2190373360880425, -0.2097227030446275, -0.20120141677512, -0.1896856664300313, -0.1847486993609495, -0.1959632379756608, -0.1830492039369316, -0.1750777521253986, -0.1764196958213583, -0.1840593467132129, -0.1773852325499483, -0.1788543061050381, -0.1783841396286803, -0.1691223027771119, -0.1568861868579495, -0.1439756636270745, -0.1379707398781817, -0.1359565674807594, -0.1278665577598196, -0.1222389432120781, -0.1130193134982451, -0.1084770652095951, -0.1155413919062554, -0.1064726179311554, -0.0844785976199558, -0.0804862767421961, -0.0739632353945004, -0.0587269156086119, -0.0438231035580299, -0.0306186181624304, -0.0899773447617194, -0.2331565644928268, -0.3358346346543126]| 99.1023483276367188|      0.20000000|[11076, 658, 0, 94]                                                        |  | trying linear partial model with 122 points | iterate success | actual_k=7
      48|[-0.3274093674071758, -0.2311386143717143, -0.0993099196666284, -0.0403382138136639, -0.0363066569901289, -0.0449588503680561, -0.062006175036333, -0.0717508509671914, -0.0837569544694143, -0.0851029750847135, -0.088347558579076, -0.0935839283878128, -0.1134642980387481, -0.1270847832400193, -0.1404299482724176, -0.1384621855552965, -0.1380733692799418, -0.1437509995000341, -0.145132183731138, -0.1579648339397234, -0.1676233360196002, -0.1686886781378565, -0.1825796579584751, -0.180331182212445, -0.2004869663249367, -0.2106818740633079, -0.2011778080321668, -0.2025730472087338, -0.2015145677303991, -0.2003976982411557, -0.207633232123318, -0.222264403568479, -0.2233705983372278, -0.2151490694329168, -0.2121681964246023, -0.2206758502518553, -0.2279586832995321, -0.2407756024164289, -0.2468200195110501, -0.2457399443325856, -0.2436410855051425, -0.2363597889611578, -0.2378130906704934, -0.2420202626446483, -0.2505796276405718, -0.2527206261121793, -0.2392687937978529, -0.2369592676678813, -0.2276185036126768, -0.2318160743211505, -0.2417145342394723, -0.2431925019439639, -0.2449056698244221, -0.2537576209051456, -0.2543240948414157, -0.2474766418271307, -0.2507844205772983, -0.2464375366930773, -0.2452805719649532, -0.240659836070948, -0.2352146153936338, -0.2359955479987291, -0.2349144993879338, -0.2339399750331056, -0.2229331595634935, -0.2266274426244643, -0.2217983708388366, -0.2190373360880425, -0.2097227030446275, -0.20120141677512, -0.1896856664300313, -0.1847486993609495, -0.1959632379756608, -0.1830492039369316, -0.1750777521253986, -0.1764196958213583, -0.1840593467132129, -0.1773852325499483, -0.1788543061050381, -0.1783841396286803, -0.1691223027771119, -0.1568861868579495, -0.1439756636270745, -0.1379707398781817, -0.1359565674807594, -0.1278665577598196, -0.1222389432120781, -0.1130193134982451, -0.1084770652095951, -0.1155413919062554, -0.1064726179311554, -0.0844785976199558, -0.0804862767421961, -0.0739632353945004, -0.0587269156086119, -0.0438231035580299, -0.0306186181624304, -0.0899773447617194, -0.2331565644928268, -0.3358346346543126]| 99.1023483276367188|      0.04000000|[11312, 672, 0, 96]                                                        |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      49|[-0.3382923824853016, -0.242792593315471, -0.1022576724295281, -0.0415574248794191, -0.0354225377688517, -0.0439959103887011, -0.0641820270010756, -0.0750556098536349, -0.0799031828326633, -0.0874886004768129, -0.0879529698510121, -0.0968295775344755, -0.1116486123039559, -0.1323304693649173, -0.1400389424031894, -0.1407043331141836, -0.1429537044666115, -0.1395191188908768, -0.1479460991559209, -0.1584650479490427, -0.1659607682392604, -0.1688870735186099, -0.1742059175156668, -0.1811859905066478, -0.2025911133696084, -0.2156053747500772, -0.2025064649123755, -0.1953639593356794, -0.2006414341597517, -0.1982544603039295, -0.2047287610908637, -0.2201667360241811, -0.2206128674990035, -0.2104105490531482, -0.2157166645087363, -0.219323754064478, -0.2297037222485533, -0.2422158549811721, -0.248927950498946, -0.2442173099274343, -0.2473313352801942, -0.2395615549566225, -0.2352675786836408, -0.2462936597166791, -0.2553779273995737, -0.2467802055511891, -0.2438416616310666, -0.2332882883507463, -0.2315610902674115, -0.2336273474186268, -0.2410767091189292, -0.2393980767046214, -0.2421457622361927, -0.249689954069632, -0.2555778887754453, -0.2519385811184181, -0.252358536454619, -0.2495613118784133, -0.2435581309510921, -0.2392759617764961, -0.2344347936683209, -0.2369576561786192, -0.2358824171875792, -0.2312076119474031, -0.2285086037141772, -0.2229455771402644, -0.2180470466893881, -0.2188223079007424, -0.2124420629246905, -0.197138710867983, -0.1926362530926375, -0.187408694465483, -0.1932270314040664, -0.18268067811283, -0.170553369937177, -0.1773280716640296, -0.1768564979860499, -0.1792639109784713, -0.1758960637424173, -0.1844747154491649, -0.1684289497978174, -0.1605283182417616, -0.1475342763324026, -0.1391223938870706, -0.1363627726882929, -0.1297251701387999, -0.1186391172828732, -0.1164850586818115, -0.1112630263628567, -0.1079076638123809, -0.1059481287749526, -0.0861392662480303, -0.0765013375610079, -0.0682359562197082, -0.0567376436454549, -0.039814982677616, -0.0299715745940432, -0.0951427965641559, -0.2494927591806471, -0.3383143409166894]| 99.0797805786132812|      0.20000000|[11547, 686, 0, 98]                                                        |  | trying linear partial model with 122 points | iterate success | actual_k=7
      50|[-0.3382923824853016, -0.242792593315471, -0.1022576724295281, -0.0415574248794191, -0.0354225377688517, -0.0439959103887011, -0.0641820270010756, -0.0750556098536349, -0.0799031828326633, -0.0874886004768129, -0.0879529698510121, -0.0968295775344755, -0.1116486123039559, -0.1323304693649173, -0.1400389424031894, -0.1407043331141836, -0.1429537044666115, -0.1395191188908768, -0.1479460991559209, -0.1584650479490427, -0.1659607682392604, -0.1688870735186099, -0.1742059175156668, -0.1811859905066478, -0.2025911133696084, -0.2156053747500772, -0.2025064649123755, -0.1953639593356794, -0.2006414341597517, -0.1982544603039295, -0.2047287610908637, -0.2201667360241811, -0.2206128674990035, -0.2104105490531482, -0.2157166645087363, -0.219323754064478, -0.2297037222485533, -0.2422158549811721, -0.248927950498946, -0.2442173099274343, -0.2473313352801942, -0.2395615549566225, -0.2352675786836408, -0.2462936597166791, -0.2553779273995737, -0.2467802055511891, -0.2438416616310666, -0.2332882883507463, -0.2315610902674115, -0.2336273474186268, -0.2410767091189292, -0.2393980767046214, -0.2421457622361927, -0.249689954069632, -0.2555778887754453, -0.2519385811184181, -0.252358536454619, -0.2495613118784133, -0.2435581309510921, -0.2392759617764961, -0.2344347936683209, -0.2369576561786192, -0.2358824171875792, -0.2312076119474031, -0.2285086037141772, -0.2229455771402644, -0.2180470466893881, -0.2188223079007424, -0.2124420629246905, -0.197138710867983, -0.1926362530926375, -0.187408694465483, -0.1932270314040664, -0.18268067811283, -0.170553369937177, -0.1773280716640296, -0.1768564979860499, -0.1792639109784713, -0.1758960637424173, -0.1844747154491649, -0.1684289497978174, -0.1605283182417616, -0.1475342763324026, -0.1391223938870706, -0.1363627726882929, -0.1297251701387999, -0.1186391172828732, -0.1164850586818115, -0.1112630263628567, -0.1079076638123809, -0.1059481287749526, -0.0861392662480303, -0.0765013375610079, -0.0682359562197082, -0.0567376436454549, -0.039814982677616, -0.0299715745940432, -0.0951427965641559, -0.2494927591806471, -0.3383143409166894]| 99.0797805786132812|      0.04000000|[11783, 700, 0, 100]                                                       |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      51|[-0.3495981142705692, -0.251122906444554, -0.1092456553580307, -0.0395428050758406, -0.0313167965324813, -0.0480469587227298, -0.0679486032608614, -0.0754695727746854, -0.082109910058971, -0.0887769236261612, -0.0854227134366823, -0.0959523762868922, -0.1169489530290148, -0.1311738787312279, -0.1390627311934141, -0.142774244645977, -0.1418271623945736, -0.1413865375326759, -0.1485964173820498, -0.156817582287588, -0.1661316357609068, -0.1699042626288889, -0.172893748289077, -0.1782854921120202, -0.2022997331934439, -0.2107675048302258, -0.2038107488971515, -0.1957358376928791, -0.2021169729492989, -0.1988011019025156, -0.200090474117386, -0.2101251799552902, -0.2170326359878249, -0.2137895918566007, -0.215837678110713, -0.2175882755936326, -0.2293481053315189, -0.2399683864743221, -0.2469728635860949, -0.2513895049246474, -0.2428665884609654, -0.2408011827429606, -0.2399199028775117, -0.2463278975458991, -0.2550453696480323, -0.2494239593466375, -0.2359592170852716, -0.2294721606121128, -0.2289126852405277, -0.2366158417841053, -0.2361594488607327, -0.2446577772040628, -0.2487115888932415, -0.2506927099264643, -0.2532065998752895, -0.2511340398261884, -0.2546757568817724, -0.2534743241678262, -0.2429575953894612, -0.2422676318734078, -0.2334272639402903, -0.2358903852177211, -0.2373185468302263, -0.2313798900836443, -0.2293809823828295, -0.2212973504397706, -0.2149828509303103, -0.2181832370742788, -0.2058234969203049, -0.1996983883672398, -0.1951883242049257, -0.1944063791050578, -0.1898413952609932, -0.1794128131762827, -0.1722120916625409, -0.1726079964529089, -0.17774803267297, -0.1786073089142851, -0.1775262265267154, -0.1785473819445875, -0.1717432350734763, -0.1636965500073134, -0.1453804757688999, -0.1431367188491929, -0.1394801311891558, -0.1342443092297055, -0.1163087233198603, -0.1169017505550095, -0.1128692007229815, -0.1065077245533423, -0.1011430330604837, -0.085765404862625, -0.0867735877648718, -0.069041783382399, -0.0576944022024164, -0.0385315642744278, -0.0357078648272957, -0.1058821141113547, -0.2593293592061547, -0.3456156250169623]| 99.0572891235351562|      0.20000000|[12018, 714, 0, 102]                                                       |  | trying linear partial model with 122 points | iterate success | actual_k=7
      52|[-0.3495981142705692, -0.251122906444554, -0.1092456553580307, -0.0395428050758406, -0.0313167965324813, -0.0480469587227298, -0.0679486032608614, -0.0754695727746854, -0.082109910058971, -0.0887769236261612, -0.0854227134366823, -0.0959523762868922, -0.1169489530290148, -0.1311738787312279, -0.1390627311934141, -0.142774244645977, -0.1418271623945736, -0.1413865375326759, -0.1485964173820498, -0.156817582287588, -0.1661316357609068, -0.1699042626288889, -0.172893748289077, -0.1782854921120202, -0.2022997331934439, -0.2107675048302258, -0.2038107488971515, -0.1957358376928791, -0.2021169729492989, -0.1988011019025156, -0.200090474117386, -0.2101251799552902, -0.2170326359878249, -0.2137895918566007, -0.215837678110713, -0.2175882755936326, -0.2293481053315189, -0.2399683864743221, -0.2469728635860949, -0.2513895049246474, -0.2428665884609654, -0.2408011827429606, -0.2399199028775117, -0.2463278975458991, -0.2550453696480323, -0.2494239593466375, -0.2359592170852716, -0.2294721606121128, -0.2289126852405277, -0.2366158417841053, -0.2361594488607327, -0.2446577772040628, -0.2487115888932415, -0.2506927099264643, -0.2532065998752895, -0.2511340398261884, -0.2546757568817724, -0.2534743241678262, -0.2429575953894612, -0.2422676318734078, -0.2334272639402903, -0.2358903852177211, -0.2373185468302263, -0.2313798900836443, -0.2293809823828295, -0.2212973504397706, -0.2149828509303103, -0.2181832370742788, -0.2058234969203049, -0.1996983883672398, -0.1951883242049257, -0.1944063791050578, -0.1898413952609932, -0.1794128131762827, -0.1722120916625409, -0.1726079964529089, -0.17774803267297, -0.1786073089142851, -0.1775262265267154, -0.1785473819445875, -0.1717432350734763, -0.1636965500073134, -0.1453804757688999, -0.1431367188491929, -0.1394801311891558, -0.1342443092297055, -0.1163087233198603, -0.1169017505550095, -0.1128692007229815, -0.1065077245533423, -0.1011430330604837, -0.085765404862625, -0.0867735877648718, -0.069041783382399, -0.0576944022024164, -0.0385315642744278, -0.0357078648272957, -0.1058821141113547, -0.2593293592061547, -0.3456156250169623]| 99.0572891235351562|      0.04000000|[12253, 728, 0, 104]                                                       |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
      53|[-0.3495981142705692, -0.251122906444554, -0.1092456553580307, -0.0395428050758406, -0.0313167965324813, -0.0480469587227298, -0.0679486032608614, -0.0754695727746854, -0.082109910058971, -0.0887769236261612, -0.0854227134366823, -0.0959523762868922, -0.1169489530290148, -0.1311738787312279, -0.1390627311934141, -0.142774244645977, -0.1418271623945736, -0.1413865375326759, -0.1485964173820498, -0.156817582287588, -0.1661316357609068, -0.1699042626288889, -0.172893748289077, -0.1782854921120202, -0.2022997331934439, -0.2107675048302258, -0.2038107488971515, -0.1957358376928791, -0.2021169729492989, -0.1988011019025156, -0.200090474117386, -0.2101251799552902, -0.2170326359878249, -0.2137895918566007, -0.215837678110713, -0.2175882755936326, -0.2293481053315189, -0.2399683864743221, -0.2469728635860949, -0.2513895049246474, -0.2428665884609654, -0.2408011827429606, -0.2399199028775117, -0.2463278975458991, -0.2550453696480323, -0.2494239593466375, -0.2359592170852716, -0.2294721606121128, -0.2289126852405277, -0.2366158417841053, -0.2361594488607327, -0.2446577772040628, -0.2487115888932415, -0.2506927099264643, -0.2532065998752895, -0.2511340398261884, -0.2546757568817724, -0.2534743241678262, -0.2429575953894612, -0.2422676318734078, -0.2334272639402903, -0.2358903852177211, -0.2373185468302263, -0.2313798900836443, -0.2293809823828295, -0.2212973504397706, -0.2149828509303103, -0.2181832370742788, -0.2058234969203049, -0.1996983883672398, -0.1951883242049257, -0.1944063791050578, -0.1898413952609932, -0.1794128131762827, -0.1722120916625409, -0.1726079964529089, -0.17774803267297, -0.1786073089142851, -0.1775262265267154, -0.1785473819445875, -0.1717432350734763, -0.1636965500073134, -0.1453804757688999, -0.1431367188491929, -0.1394801311891558, -0.1342443092297055, -0.1163087233198603, -0.1169017505550095, -0.1128692007229815, -0.1065077245533423, -0.1011430330604837, -0.085765404862625, -0.0867735877648718, -0.069041783382399, -0.0576944022024164, -0.0385315642744278, -0.0357078648272957, -0.1058821141113547, -0.2593293592061547, -0.3456156250169623]| 99.0572891235351562|      0.00800000|[12488, 742, 0, 106]                                                       |  | trying linear partial model with 122 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=7
