k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
       0|[2.0, 3.0]                                                                      |889.3031475218829200|      1.00000000|[0, 0, 0, 0]                                                               | 
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[188, 66, 0, 66]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[191, 67, 0, 67]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[194, 68, 0, 68]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[197, 69, 0, 69]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[200, 70, 0, 70]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[203, 71, 0, 71]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[206, 72, 0, 72]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[209, 73, 0, 73]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[212, 74, 0, 74]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[215, 75, 0, 75]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[218, 76, 0, 76]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[221, 77, 0, 77]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[224, 78, 0, 78]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[227, 79, 0, 79]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
      22|[1.163464747580175, 0.8947865271541662]                                         |  0.0350448451936245|      0.01000000|[230, 80, 0, 80]                                                           |  | trying quadratic partial model with 4 points | DECALRED SUCCESS
