k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      45|[2.8348959931374855, 30.213135110807094, 46.22557156129927, 41.864918516692754] |  4.4091582298278809|      0.47829690|[482, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      46|[2.8348959931374855, 30.213135110807094, 46.22557156129927, 41.864918516692754] |  4.4091582298278809|      0.43046721|[493, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      47|[2.8348959931374855, 30.213135110807094, 46.22557156129927, 41.864918516692754] |  4.4091582298278809|      0.38742049|[505, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[2.8348959931374855, 30.213135110807094, 46.22557156129927, 41.864918516692754] |  4.4091582298278809|      0.34867844|[516, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      49|[2.488184628989115, 30.178485483248167, 46.23340651238527, 41.87520935788543]   |  3.2215306758880615|      0.38742049|[527, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      50|[2.488184628989115, 30.178485483248167, 46.23340651238527, 41.87520935788543]   |  3.2215306758880615|      0.34867844|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      51|[2.488184628989115, 30.178485483248167, 46.23340651238527, 41.87520935788543]   |  3.2215306758880615|      0.31381060|[548, 204, 0, 102]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      52|[2.488184628989115, 30.178485483248167, 46.23340651238527, 41.87520935788543]   |  3.2215306758880615|      0.28242954|[559, 208, 0, 104]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      53|[2.206288866485991, 30.167424114851755, 46.245462206682944, 41.88099973989829]  |  2.3977606296539307|      0.31381060|[569, 212, 0, 106]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      54|[2.206288866485991, 30.167424114851755, 46.245462206682944, 41.88099973989829]  |  2.3977606296539307|      0.28242954|[580, 216, 0, 108]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      55|[1.9251988037903718, 30.144368648163514, 46.255528716722985, 41.89204195715963] |  1.6965994834899902|      0.31381060|[590, 220, 0, 110]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      56|[1.9251988037903718, 30.144368648163514, 46.255528716722985, 41.89204195715963] |  1.6965994834899902|      0.28242954|[600, 224, 0, 112]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      57|[1.9251988037903718, 30.144368648163514, 46.255528716722985, 41.89204195715963] |  1.6965994834899902|      0.25418658|[611, 228, 0, 114]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      58|[1.9251988037903718, 30.144368648163514, 46.255528716722985, 41.89204195715963] |  1.6965994834899902|      0.22876792|[621, 232, 0, 116]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      59|[1.6970262812015036, 30.128516716889067, 46.260076067080384, 41.89172396696196] |  1.2181342840194702|      0.25418658|[632, 236, 0, 118]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      60|[1.6970262812015036, 30.128516716889067, 46.260076067080384, 41.89172396696196] |  1.2181342840194702|      0.22876792|[642, 240, 0, 120]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      61|[1.6970262812015036, 30.128516716889067, 46.260076067080384, 41.89172396696196] |  1.2181342840194702|      0.20589113|[653, 244, 0, 122]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      62|[1.6970262812015036, 30.128516716889067, 46.260076067080384, 41.89172396696196] |  1.2181342840194702|      0.18530202|[663, 248, 0, 124]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
