k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      38|[0.0016867560575052, -0.0014694874519766]                                       |  0.0000022034366793|      0.00097656|[243, 91, 0, 91]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      39|[0.0009088525260539, -0.0008791143393081]                                       |  0.0000007730479865|      0.00195312|[250, 94, 0, 94]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      40|[0.0009088525260539, -0.0008791143393081]                                       |  0.0000007730479865|      0.00097656|[257, 97, 0, 97]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      41|[0.0009088525260539, -0.0008791143393081]                                       |  0.0000007730479865|      0.00048828|[263, 99, 0, 99]                                                           |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      42|[0.0009088525260539, -0.0008791143393081]                                       |  0.0000007730479865|      0.00024414|[269, 101, 0, 101]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      43|[0.000904443160594, -0.0006350135358034]                                        |  0.0000004755792133|      0.00048828|[275, 103, 0, 103]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      44|[0.000904443160594, -0.0006350135358034]                                        |  0.0000004755792133|      0.00024414|[281, 105, 0, 105]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      45|[0.0008206487216833, -0.0004057034034869]                                       |  0.0000003367085526|      0.00048828|[288, 108, 0, 108]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | iterate success | actual_k=1
      46|[0.0008206487216833, -0.0004057034034869]                                       |  0.0000003367085526|      0.00024414|[296, 111, 0, 111]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | exploitation failed, decreasing delta | actual_k=1
      47|[0.0005966954330862, -0.0003084945083078]                                       |  0.0000001781994143|      0.00048828|[302, 113, 0, 113]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      48|[0.0005966954330862, -0.0003084945083078]                                       |  0.0000001781994143|      0.00024414|[309, 116, 0, 116]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
      49|[0.0003655968171946, -0.0002297666574011]                                       |  0.0000000712304384|      0.00048828|[315, 118, 0, 118]                                                         |  | trying quadratic partial model with 4 points | iterate success | actual_k=1
      50|[0.0003655968171946, -0.0002297666574011]                                       |  0.0000000712304384|      0.00024414|[323, 121, 0, 121]                                                         |  | trying quadratic partial model with 4 points | (iterate failure) trying more points before decreasing delta | trying quadratic partial model with 6 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=1
