k       | x                                                                              | f(x)               | delta          | n_function_calls, n_failed_function_calls, n_1_batch_calls, n_batch_calls | message
      45|[0.2131332565266314, 0.4511304628508804, 0.4243321206003129, 0.2970723353653615]|  0.0011551640927792|      0.00781250|[482, 180, 0, 90]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      46|[0.2106853097347548, 0.4548810536952382, 0.4235589543127139, 0.290717967185591] |  0.0010274836095050|      0.01562500|[493, 184, 0, 92]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      47|[0.2106853097347548, 0.4548810536952382, 0.4235589543127139, 0.290717967185591] |  0.0010274836095050|      0.00781250|[505, 188, 0, 94]                                                          |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      48|[0.2111918580799748, 0.4519881040836116, 0.4256833746239619, 0.2837972558124949]|  0.0009729476296343|      0.01562500|[516, 192, 0, 96]                                                          |  | trying linear partial model with 7 points | iterate success | actual_k=2
      49|[0.2111918580799748, 0.4519881040836116, 0.4256833746239619, 0.2837972558124949]|  0.0009729476296343|      0.00781250|[527, 196, 0, 98]                                                          |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      50|[0.2059619549906825, 0.4547599535200852, 0.4252877180010695, 0.2787135980284882]|  0.0009100910392590|      0.01562500|[537, 200, 0, 100]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      51|[0.2059619549906825, 0.4547599535200852, 0.4252877180010695, 0.2787135980284882]|  0.0009100910392590|      0.00781250|[548, 204, 0, 102]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      52|[0.2110175578901144, 0.4587795367877837, 0.4218487436543471, 0.2759763655995774]|  0.0008649189257994|      0.01562500|[559, 208, 0, 104]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      53|[0.2110175578901144, 0.4587795367877837, 0.4218487436543471, 0.2759763655995774]|  0.0008649189257994|      0.00781250|[569, 212, 0, 106]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      54|[0.2110175578901144, 0.4587795367877837, 0.4218487436543471, 0.2759763655995774]|  0.0008649189257994|      0.00390625|[580, 216, 0, 108]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      55|[0.2071265739213729, 0.4586963894112097, 0.421969044222207, 0.2756638802324987] |  0.0008209762745537|      0.00781250|[590, 220, 0, 110]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      56|[0.2071265739213729, 0.4586963894112097, 0.421969044222207, 0.2756638802324987] |  0.0008209762745537|      0.00390625|[600, 224, 0, 112]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      57|[0.2089411158584006, 0.4603294782160963, 0.4224188827143895, 0.2726477746462215]|  0.0007956073386595|      0.00781250|[611, 228, 0, 114]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      58|[0.2089411158584006, 0.4603294782160963, 0.4224188827143895, 0.2726477746462215]|  0.0007956073386595|      0.00390625|[621, 232, 0, 116]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      59|[0.2053397173852351, 0.4604394461534773, 0.4222091424802997, 0.2711535744632028]|  0.0007734386599623|      0.00781250|[632, 236, 0, 118]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      60|[0.2053397173852351, 0.4604394461534773, 0.4222091424802997, 0.2711535744632028]|  0.0007734386599623|      0.00390625|[642, 240, 0, 120]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      61|[0.2078398454631026, 0.4623990411621324, 0.4212400158903676, 0.269097138295582] |  0.0007455543382093|      0.00781250|[653, 244, 0, 122]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      62|[0.2078398454631026, 0.4623990411621324, 0.4212400158903676, 0.269097138295582] |  0.0007455543382093|      0.00390625|[663, 248, 0, 124]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      63|[0.2044170452140867, 0.4632680497074056, 0.4203954688490614, 0.2676567244796598]|  0.0007234193617478|      0.00781250|[674, 252, 0, 126]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      64|[0.2044170452140867, 0.4632680497074056, 0.4203954688490614, 0.2676567244796598]|  0.0007234193617478|      0.00390625|[685, 256, 0, 128]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      65|[0.2055926297003385, 0.4663469561072912, 0.4204733225176441, 0.2655612378141771]|  0.0006866923649795|      0.00781250|[695, 260, 0, 130]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      66|[0.2055926297003385, 0.4663469561072912, 0.4204733225176441, 0.2655612378141771]|  0.0006866923649795|      0.00390625|[705, 264, 0, 132]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      67|[0.205895164135459, 0.4684840702644366, 0.4211196332683772, 0.2623702681385327] |  0.0006617495673709|      0.00781250|[716, 268, 0, 134]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      68|[0.205895164135459, 0.4684840702644366, 0.4211196332683772, 0.2623702681385327] |  0.0006617495673709|      0.00390625|[726, 272, 0, 136]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      69|[0.2028819056483923, 0.4698670080272024, 0.4208252741897758, 0.2603257881973785]|  0.0006399690755643|      0.00781250|[737, 276, 0, 138]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      70|[0.2028819056483923, 0.4698670080272024, 0.4208252741897758, 0.2603257881973785]|  0.0006399690755643|      0.00390625|[749, 280, 0, 140]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      71|[0.2028819056483923, 0.4698670080272024, 0.4208252741897758, 0.2603257881973785]|  0.0006399690755643|      0.00195312|[759, 284, 0, 142]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      72|[0.2031923673468459, 0.4707453196329139, 0.4204297736141382, 0.2586553215507911]|  0.0006218741764314|      0.00390625|[769, 288, 0, 144]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      73|[0.2042515192324039, 0.4727761534165185, 0.4189529035351474, 0.2558568299465566]|  0.0006029174546711|      0.00781250|[780, 292, 0, 146]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      74|[0.2042515192324039, 0.4727761534165185, 0.4189529035351474, 0.2558568299465566]|  0.0006029174546711|      0.00390625|[790, 296, 0, 148]                                                         |  | trying linear partial model with 7 points | exploitation failed, decreasing delta | actual_k=2
      75|[0.2042515192324039, 0.4727761534165185, 0.4189529035351474, 0.2558568299465566]|  0.0006029174546711|      0.00195312|[800, 300, 0, 150]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      76|[0.2023820958022046, 0.4728573791227619, 0.4188675983405717, 0.2553035861371283]|  0.0005936614470556|      0.00390625|[810, 304, 0, 152]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      77|[0.2023820958022046, 0.4728573791227619, 0.4188675983405717, 0.2553035861371283]|  0.0005936614470556|      0.00195312|[821, 308, 0, 154]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      78|[0.203160587897387, 0.4737350587429273, 0.4182774530926232, 0.2538578840952006] |  0.0005845134728588|      0.00390625|[831, 312, 0, 156]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
      79|[0.203160587897387, 0.4737350587429273, 0.4182774530926232, 0.2538578840952006] |  0.0005845134728588|      0.00195312|[841, 316, 0, 158]                                                         |  | trying linear partial model with 7 points | (iterate failure) trying more points before decreasing delta | exploitation failed, decreasing delta | actual_k=2
      80|[0.2017857452280792, 0.4741555090417073, 0.4178562162276611, 0.2526047735852582]|  0.0005757617182098|      0.00390625|[852, 320, 0, 160]                                                         |  | trying linear partial model with 7 points | iterate success | actual_k=2
